Size,Sort,Times,trialNo
100,BubbleSort,1.0008811950683594,1
100,BubbleSort,1.0068416595458984,2
100,BubbleSort,0.9810924530029297,3
100,BubbleSort,0.8499622344970703,4
100,BubbleSort,0.9682178497314453,5
100,BubbleSort,0.90789794921875,6
100,BubbleSort,0.9469985961914062,7
100,BubbleSort,0.8492469787597656,8
100,BubbleSort,0.8368492126464844,9
100,BubbleSort,0.8630752563476562,10
250,BubbleSort,5.069732666015625,1
250,BubbleSort,5.227804183959961,2
250,BubbleSort,5.038738250732422,3
250,BubbleSort,5.244016647338867,4
250,BubbleSort,5.660057067871094,5
250,BubbleSort,6.211996078491211,6
250,BubbleSort,5.206108093261719,7
250,BubbleSort,5.327939987182617,8
250,BubbleSort,5.161046981811523,9
250,BubbleSort,5.238056182861328,10
500,BubbleSort,21.892070770263672,1
500,BubbleSort,22.0489501953125,2
500,BubbleSort,22.543907165527344,3
500,BubbleSort,22.843122482299805,4
500,BubbleSort,22.413253784179688,5
500,BubbleSort,22.86505699157715,6
500,BubbleSort,23.194074630737305,7
500,BubbleSort,23.03910255432129,8
500,BubbleSort,22.691965103149414,9
500,BubbleSort,23.052692413330078,10
750,BubbleSort,53.36189270019531,1
750,BubbleSort,58.84289741516113,2
750,BubbleSort,56.114912033081055,3
750,BubbleSort,55.14407157897949,4
750,BubbleSort,53.816795349121094,5
750,BubbleSort,54.360151290893555,6
750,BubbleSort,52.85501480102539,7
750,BubbleSort,52.15001106262207,8
750,BubbleSort,51.362037658691406,9
750,BubbleSort,51.54991149902344,10
1000,BubbleSort,94.7878360748291,1
1000,BubbleSort,93.93477439880371,2
1000,BubbleSort,94.8343276977539,3
1000,BubbleSort,95.56388854980469,4
1000,BubbleSort,93.66989135742188,5
1000,BubbleSort,95.3369140625,6
1000,BubbleSort,95.1230525970459,7
1000,BubbleSort,95.23820877075195,8
1000,BubbleSort,94.12312507629395,9
1000,BubbleSort,94.75374221801758,10
100,InsertionSort,0.4150867462158203,1
100,InsertionSort,0.4019737243652344,2
100,InsertionSort,0.39577484130859375,3
100,InsertionSort,0.3991127014160156,4
100,InsertionSort,0.4436969757080078,5
100,InsertionSort,0.4131793975830078,6
100,InsertionSort,0.38313865661621094,7
100,InsertionSort,0.39887428283691406,8
100,InsertionSort,0.4150867462158203,9
100,InsertionSort,0.4012584686279297,10
250,InsertionSort,2.2819042205810547,1
250,InsertionSort,2.6509761810302734,2
250,InsertionSort,2.418994903564453,3
250,InsertionSort,2.5801658630371094,4
250,InsertionSort,2.716064453125,5
250,InsertionSort,2.4619102478027344,6
250,InsertionSort,2.4330615997314453,7
250,InsertionSort,2.540111541748047,8
250,InsertionSort,2.2857189178466797,9
250,InsertionSort,2.6619434356689453,10
500,InsertionSort,10.737895965576172,1
500,InsertionSort,10.452985763549805,2
500,InsertionSort,11.102914810180664,3
500,InsertionSort,10.770082473754883,4
500,InsertionSort,10.488033294677734,5
500,InsertionSort,10.559797286987305,6
500,InsertionSort,10.293006896972656,7
500,InsertionSort,10.62321662902832,8
500,InsertionSort,10.984182357788086,9
500,InsertionSort,10.902881622314453,10
750,InsertionSort,24.190902709960938,1
750,InsertionSort,24.205684661865234,2
750,InsertionSort,24.148941040039062,3
750,InsertionSort,25.177955627441406,4
750,InsertionSort,23.828983306884766,5
750,InsertionSort,24.922847747802734,6
750,InsertionSort,24.47819709777832,7
750,InsertionSort,24.68705177307129,8
750,InsertionSort,24.048805236816406,9
750,InsertionSort,25.50506591796875,10
1000,InsertionSort,43.85519027709961,1
1000,InsertionSort,43.32399368286133,2
1000,InsertionSort,44.10195350646973,3
1000,InsertionSort,45.661211013793945,4
1000,InsertionSort,44.94190216064453,5
1000,InsertionSort,43.23935508728027,6
1000,InsertionSort,44.801950454711914,7
1000,InsertionSort,43.56503486633301,8
1000,InsertionSort,43.602943420410156,9
1000,InsertionSort,45.847177505493164,10
100,MergeSort,0.3058910369873047,1
100,MergeSort,0.2942085266113281,2
100,MergeSort,0.29397010803222656,3
100,MergeSort,0.2930164337158203,4
100,MergeSort,0.29277801513671875,5
100,MergeSort,0.29206275939941406,6
100,MergeSort,0.2930164337158203,7
100,MergeSort,0.2930164337158203,8
100,MergeSort,0.2918243408203125,9
100,MergeSort,0.2930164337158203,10
250,MergeSort,0.8368492126464844,1
250,MergeSort,0.8447170257568359,2
250,MergeSort,0.8351802825927734,3
250,MergeSort,0.8361339569091797,4
250,MergeSort,0.8311271667480469,5
250,MergeSort,0.8320808410644531,6
250,MergeSort,0.8361339569091797,7
250,MergeSort,0.8330345153808594,8
250,MergeSort,0.8347034454345703,9
250,MergeSort,0.8330345153808594,10
500,MergeSort,1.8360614776611328,1
500,MergeSort,1.837015151977539,2
500,MergeSort,1.8341541290283203,3
500,MergeSort,1.8351078033447266,4
500,MergeSort,1.8770694732666016,5
500,MergeSort,1.8329620361328125,6
500,MergeSort,1.833200454711914,7
500,MergeSort,2.100229263305664,8
500,MergeSort,2.1409988403320312,9
500,MergeSort,1.8417835235595703,10
750,MergeSort,2.9599666595458984,1
750,MergeSort,3.677845001220703,2
750,MergeSort,3.131866455078125,3
750,MergeSort,2.9718875885009766,4
750,MergeSort,2.953052520751953,5
750,MergeSort,2.953052520751953,6
750,MergeSort,2.99072265625,7
750,MergeSort,3.1740665435791016,8
750,MergeSort,2.9571056365966797,9
750,MergeSort,3.1180381774902344,10
1000,MergeSort,4.127979278564453,1
1000,MergeSort,4.081010818481445,2
1000,MergeSort,4.099845886230469,3
1000,MergeSort,4.154205322265625,4
1000,MergeSort,4.082918167114258,5
1000,MergeSort,4.079103469848633,6
1000,MergeSort,4.076719284057617,7
1000,MergeSort,4.10008430480957,8
1000,MergeSort,4.090070724487305,9
1000,MergeSort,4.088878631591797,10
100,quickSort,0.1609325408935547,1
100,quickSort,0.16498565673828125,2
100,quickSort,0.1323223114013672,3
100,quickSort,0.14019012451171875,4
100,quickSort,0.13685226440429688,5
100,quickSort,0.14495849609375,6
100,quickSort,0.1380443572998047,7
100,quickSort,0.14328956604003906,8
100,quickSort,0.141143798828125,9
100,quickSort,0.14495849609375,10
250,quickSort,0.43082237243652344,1
250,quickSort,0.4718303680419922,2
250,quickSort,0.4208087921142578,3
250,quickSort,0.4200935363769531,4
250,quickSort,0.4200935363769531,5
250,quickSort,0.42891502380371094,6
250,quickSort,0.4229545593261719,7
250,quickSort,0.4398822784423828,8
250,quickSort,0.42891502380371094,9
250,quickSort,0.45800209045410156,10
500,quickSort,1.007080078125,1
500,quickSort,1.016855239868164,2
500,quickSort,1.0030269622802734,3
500,quickSort,1.1298656463623047,4
500,quickSort,1.0030269622802734,5
500,quickSort,1.024007797241211,6
500,quickSort,1.0061264038085938,7
500,quickSort,1.0139942169189453,8
500,quickSort,1.0170936584472656,9
500,quickSort,1.0628700256347656,10
750,quickSort,1.7230510711669922,1
750,quickSort,1.6679763793945312,2
750,quickSort,1.8818378448486328,3
750,quickSort,2.03704833984375,4
750,quickSort,1.6880035400390625,5
750,quickSort,1.8069744110107422,6
750,quickSort,2.301931381225586,7
750,quickSort,1.667022705078125,8
750,quickSort,1.7769336700439453,9
750,quickSort,1.7321109771728516,10
1000,quickSort,2.3012161254882812,1
1000,quickSort,2.368927001953125,2
1000,quickSort,2.4292469024658203,3
1000,quickSort,2.4690628051757812,4
1000,quickSort,2.5742053985595703,5
1000,quickSort,2.395153045654297,6
1000,quickSort,2.390146255493164,7
1000,quickSort,2.437114715576172,8
1000,quickSort,2.4421215057373047,9
1000,quickSort,2.5370121002197266,10
100,CountingSort,0.050067901611328125,1
100,CountingSort,0.047206878662109375,2
100,CountingSort,0.04100799560546875,3
100,CountingSort,0.0400543212890625,4
100,CountingSort,0.03981590270996094,5
100,CountingSort,0.04100799560546875,6
100,CountingSort,0.04029273986816406,7
100,CountingSort,0.04029273986816406,8
100,CountingSort,0.03981590270996094,9
100,CountingSort,0.04100799560546875,10
250,CountingSort,0.08225440979003906,1
250,CountingSort,0.0820159912109375,2
250,CountingSort,0.0820159912109375,3
250,CountingSort,0.08106231689453125,4
250,CountingSort,0.08106231689453125,5
250,CountingSort,0.08106231689453125,6
250,CountingSort,0.08177757263183594,7
250,CountingSort,0.08106231689453125,8
250,CountingSort,0.0820159912109375,9
250,CountingSort,0.08082389831542969,10
500,CountingSort,0.15306472778320312,1
500,CountingSort,0.14901161193847656,2
500,CountingSort,0.1480579376220703,3
500,CountingSort,0.1480579376220703,4
500,CountingSort,0.1480579376220703,5
500,CountingSort,0.14781951904296875,6
500,CountingSort,0.14781951904296875,7
500,CountingSort,0.1480579376220703,8
500,CountingSort,0.15115737915039062,9
500,CountingSort,0.1480579376220703,10
750,CountingSort,0.21457672119140625,1
750,CountingSort,0.21696090698242188,2
750,CountingSort,0.21505355834960938,3
750,CountingSort,0.21505355834960938,4
750,CountingSort,0.2148151397705078,5
750,CountingSort,0.21505355834960938,6
750,CountingSort,0.21409988403320312,7
750,CountingSort,0.21409988403320312,8
