Size,Sort,Times,trialNo
100,CountingSort,0.08106231689453125,1
100,CountingSort,0.052928924560546875,2
100,CountingSort,0.04220008850097656,3
100,CountingSort,0.04291534423828125,4
100,CountingSort,0.041961669921875,5
100,CountingSort,0.04291534423828125,6
100,CountingSort,0.04315376281738281,7
100,CountingSort,0.0438690185546875,8
100,CountingSort,0.0438690185546875,9
100,CountingSort,0.04506111145019531,10
250,CountingSort,0.08916854858398438,1
250,CountingSort,0.09012222290039062,2
250,CountingSort,0.08916854858398438,3
250,CountingSort,0.08797645568847656,4
250,CountingSort,0.08797645568847656,5
250,CountingSort,0.08988380432128906,6
250,CountingSort,0.08797645568847656,7
250,CountingSort,0.08988380432128906,8
250,CountingSort,0.08916854858398438,9
250,CountingSort,0.08916854858398438,10
500,CountingSort,0.16999244689941406,1
500,CountingSort,0.164031982421875,2
500,CountingSort,0.16188621520996094,3
500,CountingSort,0.16498565673828125,4
500,CountingSort,0.1678466796875,5
500,CountingSort,0.17523765563964844,6
500,CountingSort,0.16188621520996094,7
500,CountingSort,0.164031982421875,8
500,CountingSort,0.1621246337890625,9
500,CountingSort,0.1652240753173828,10
750,CountingSort,0.23508071899414062,1
750,CountingSort,0.23484230041503906,2
750,CountingSort,0.23674964904785156,3
750,CountingSort,0.23412704467773438,4
750,CountingSort,0.23603439331054688,5
750,CountingSort,0.23889541625976562,6
750,CountingSort,0.23484230041503906,7
750,CountingSort,0.23412704467773438,8
750,CountingSort,0.23508071899414062,9
750,CountingSort,0.2357959747314453,10
1000,CountingSort,0.30493736267089844,1
1000,CountingSort,0.3077983856201172,2
1000,CountingSort,0.30684471130371094,3
1000,CountingSort,0.4520416259765625,4
1000,CountingSort,0.3342628479003906,5
1000,CountingSort,0.3199577331542969,6
1000,CountingSort,0.29206275939941406,7
1000,CountingSort,0.3178119659423828,8
1000,CountingSort,0.2999305725097656,9
1000,CountingSort,0.3180503845214844,10
1250,CountingSort,0.38886070251464844,1
1250,CountingSort,0.39196014404296875,2
1250,CountingSort,0.3921985626220703,3
1250,CountingSort,0.38695335388183594,4
1250,CountingSort,0.9012222290039062,5
1250,CountingSort,0.37407875061035156,6
1250,CountingSort,0.38814544677734375,7
1250,CountingSort,0.39005279541015625,8
1250,CountingSort,0.43010711669921875,9
1250,CountingSort,0.3979206085205078,10
2500,CountingSort,0.7610321044921875,1
2500,CountingSort,0.7631778717041016,2
2500,CountingSort,0.7600784301757812,3
2500,CountingSort,0.7610321044921875,4
2500,CountingSort,0.7390975952148438,5
2500,CountingSort,0.7219314575195312,6
2500,CountingSort,1.0223388671875,7
2500,CountingSort,0.7240772247314453,8
2500,CountingSort,0.7197856903076172,9
2500,CountingSort,0.7281303405761719,10
3750,CountingSort,1.168966293334961,1
3750,CountingSort,1.0938644409179688,2
3750,CountingSort,1.1301040649414062,3
3750,CountingSort,1.0592937469482422,4
3750,CountingSort,1.1200904846191406,5
3750,CountingSort,1.0669231414794922,6
3750,CountingSort,1.0840892791748047,7
3750,CountingSort,1.1239051818847656,8
3750,CountingSort,1.2259483337402344,9
3750,CountingSort,1.0809898376464844,10
5000,CountingSort,1.4798641204833984,1
5000,CountingSort,1.4369487762451172,2
5000,CountingSort,1.4369487762451172,3
5000,CountingSort,1.4820098876953125,4
5000,CountingSort,1.444101333618164,5
5000,CountingSort,1.402139663696289,6
5000,CountingSort,1.4309883117675781,7
5000,CountingSort,1.4319419860839844,8
5000,CountingSort,1.4231204986572266,9
5000,CountingSort,1.4257431030273438,10
6250,CountingSort,1.9638538360595703,1
6250,CountingSort,1.7840862274169922,2
6250,CountingSort,1.8508434295654297,3
6250,CountingSort,1.8482208251953125,4
6250,CountingSort,1.8780231475830078,5
6250,CountingSort,1.9876956939697266,6
6250,CountingSort,1.9030570983886719,7
6250,CountingSort,1.8858909606933594,8
6250,CountingSort,1.8839836120605469,9
6250,CountingSort,1.7771720886230469,10
7500,CountingSort,2.1467208862304688,1
7500,CountingSort,2.1228790283203125,2
7500,CountingSort,2.1817684173583984,3
7500,CountingSort,2.218008041381836,4
7500,CountingSort,2.151012420654297,5
7500,CountingSort,2.154111862182617,6
7500,CountingSort,2.1371841430664062,7
7500,CountingSort,2.135753631591797,8
7500,CountingSort,2.177000045776367,9
7500,CountingSort,2.180814743041992,10
8750,CountingSort,2.6221275329589844,1
8750,CountingSort,2.4979114532470703,2
8750,CountingSort,2.485990524291992,3
8750,CountingSort,2.5708675384521484,4
8750,CountingSort,2.440929412841797,5
8750,CountingSort,2.6559829711914062,6
8750,CountingSort,2.492189407348633,7
8750,CountingSort,2.629995346069336,8
8750,CountingSort,2.417325973510742,9
8750,CountingSort,2.4399757385253906,10
10000,CountingSort,2.788066864013672,1
10000,CountingSort,2.834796905517578,2
10000,CountingSort,2.8181076049804688,3
10000,CountingSort,2.8629302978515625,4
10000,CountingSort,2.847909927368164,5
10000,CountingSort,2.73895263671875,6
10000,CountingSort,2.7849674224853516,7
10000,CountingSort,2.6879310607910156,8
10000,CountingSort,2.6769638061523438,9
10000,CountingSort,2.666950225830078,10
