Size,Sort,Times,trialNo
100,MergeSort,0.3681182861328125,1
100,MergeSort,0.29587745666503906,2
100,MergeSort,0.2951622009277344,3
100,MergeSort,0.2951622009277344,4
100,MergeSort,0.2970695495605469,5
100,MergeSort,0.2951622009277344,6
100,MergeSort,0.29587745666503906,7
100,MergeSort,0.29587745666503906,8
100,MergeSort,0.29587745666503906,9
100,MergeSort,0.2949237823486328,10
250,MergeSort,0.8530616760253906,1
250,MergeSort,0.8440017700195312,2
250,MergeSort,0.8449554443359375,3
250,MergeSort,0.9028911590576172,4
250,MergeSort,0.8540153503417969,5
250,MergeSort,0.8819103240966797,6
250,MergeSort,0.8780956268310547,7
250,MergeSort,0.8490085601806641,8
250,MergeSort,0.8411407470703125,9
250,MergeSort,0.843048095703125,10
500,MergeSort,1.857757568359375,1
500,MergeSort,1.9240379333496094,2
500,MergeSort,1.8579959869384766,3
500,MergeSort,1.8551349639892578,4
500,MergeSort,1.8529891967773438,5
500,MergeSort,1.8601417541503906,6
500,MergeSort,1.8510818481445312,7
500,MergeSort,3.9398670196533203,8
500,MergeSort,1.8808841705322266,9
500,MergeSort,1.859903335571289,10
750,MergeSort,2.978086471557617,1
750,MergeSort,3.098011016845703,2
750,MergeSort,3.9479732513427734,3
750,MergeSort,5.396842956542969,4
750,MergeSort,3.6110877990722656,5
750,MergeSort,3.5610198974609375,6
750,MergeSort,2.9850006103515625,7
750,MergeSort,3.0388832092285156,8
750,MergeSort,3.0472278594970703,9
750,MergeSort,3.008127212524414,10
1000,MergeSort,4.1522979736328125,1
1000,MergeSort,4.115104675292969,2
1000,MergeSort,4.214048385620117,3
1000,MergeSort,4.141092300415039,4
1000,MergeSort,4.574060440063477,5
1000,MergeSort,4.101037979125977,6
1000,MergeSort,4.156827926635742,7
1000,MergeSort,4.113912582397461,8
1000,MergeSort,4.108905792236328,9
1000,MergeSort,4.103183746337891,10
1250,MergeSort,5.346059799194336,1
1250,MergeSort,5.346059799194336,2
1250,MergeSort,5.339860916137695,3
1250,MergeSort,5.33604621887207,4
1250,MergeSort,5.322933197021484,5
1250,MergeSort,5.366086959838867,6
1250,MergeSort,5.347013473510742,7
1250,MergeSort,5.341053009033203,8
1250,MergeSort,5.37419319152832,9
1250,MergeSort,5.483150482177734,10
2500,MergeSort,12.89510726928711,1
2500,MergeSort,13.242959976196289,2
2500,MergeSort,14.027118682861328,3
2500,MergeSort,12.485742568969727,4
2500,MergeSort,12.503862380981445,5
2500,MergeSort,12.978076934814453,6
2500,MergeSort,12.572050094604492,7
2500,MergeSort,12.861013412475586,8
2500,MergeSort,12.789011001586914,9
2500,MergeSort,12.632608413696289,10
3750,MergeSort,20.243167877197266,1
3750,MergeSort,21.00205421447754,2
3750,MergeSort,19.899845123291016,3
3750,MergeSort,19.767045974731445,4
3750,MergeSort,19.00506019592285,5
3750,MergeSort,18.66006851196289,6
3750,MergeSort,18.728017807006836,7
3750,MergeSort,18.575668334960938,8
3750,MergeSort,18.604040145874023,9
3750,MergeSort,19.07205581665039,10
5000,MergeSort,25.81191062927246,1
5000,MergeSort,25.609970092773438,2
5000,MergeSort,25.34008026123047,3
5000,MergeSort,25.347232818603516,4
5000,MergeSort,25.396108627319336,5
5000,MergeSort,25.324106216430664,6
5000,MergeSort,25.809049606323242,7
5000,MergeSort,28.619050979614258,8
5000,MergeSort,27.281761169433594,9
5000,MergeSort,26.691913604736328,10
6250,MergeSort,35.81500053405762,1
6250,MergeSort,35.639047622680664,2
6250,MergeSort,36.65304183959961,3
6250,MergeSort,32.5469970703125,4
6250,MergeSort,33.59222412109375,5
6250,MergeSort,32.778024673461914,6
6250,MergeSort,32.48000144958496,7
6250,MergeSort,32.926082611083984,8
6250,MergeSort,32.546043395996094,9
6250,MergeSort,33.25700759887695,10
7500,MergeSort,43.237924575805664,1
7500,MergeSort,42.10186004638672,2
7500,MergeSort,42.91391372680664,3
7500,MergeSort,43.87211799621582,4
7500,MergeSort,43.791770935058594,5
7500,MergeSort,40.58122634887695,6
7500,MergeSort,39.839982986450195,7
7500,MergeSort,40.45891761779785,8
7500,MergeSort,65.62209129333496,9
7500,MergeSort,42.67120361328125,10
8750,MergeSort,47.59693145751953,1
8750,MergeSort,47.92189598083496,2
8750,MergeSort,50.024986267089844,3
8750,MergeSort,47.23191261291504,4
8750,MergeSort,51.242828369140625,5
8750,MergeSort,50.331830978393555,6
8750,MergeSort,50.81605911254883,7
8750,MergeSort,52.17385292053223,8
8750,MergeSort,59.28301811218262,9
8750,MergeSort,48.81095886230469,10
10000,MergeSort,56.49518966674805,1
10000,MergeSort,55.639028549194336,2
10000,MergeSort,59.059858322143555,3
10000,MergeSort,58.76612663269043,4
10000,MergeSort,59.26084518432617,5
10000,MergeSort,58.8836669921875,6
10000,MergeSort,60.84609031677246,7
10000,MergeSort,59.561967849731445,8
10000,MergeSort,58.793067932128906,9
10000,MergeSort,58.72321128845215,10
100,quickSort,0.17213821411132812,1
100,quickSort,0.16570091247558594,2
100,quickSort,0.15926361083984375,3
100,quickSort,0.16188621520996094,4
100,quickSort,0.1590251922607422,5
100,quickSort,0.164031982421875,6
100,quickSort,0.1609325408935547,7
