Size,Sort,Times,trialNo
100,BubbleSort,0.8780956268310547,1
100,BubbleSort,0.8118152618408203,2
100,BubbleSort,0.8790493011474609,3
100,BubbleSort,0.8180141448974609,4
100,BubbleSort,0.8380413055419922,5
100,BubbleSort,0.9479522705078125,6
100,BubbleSort,0.8609294891357422,7
100,BubbleSort,0.9622573852539062,8
100,BubbleSort,1.062154769897461,9
100,BubbleSort,0.8299350738525391,10
250,BubbleSort,5.158901214599609,1
250,BubbleSort,5.463838577270508,2
250,BubbleSort,5.277872085571289,3
250,BubbleSort,5.2051544189453125,4
250,BubbleSort,7.73310661315918,5
250,BubbleSort,5.424022674560547,6
250,BubbleSort,8.505105972290039,7
250,BubbleSort,5.548954010009766,8
250,BubbleSort,6.290912628173828,9
250,BubbleSort,5.620002746582031,10
500,BubbleSort,23.441076278686523,1
500,BubbleSort,27.13298797607422,2
500,BubbleSort,22.940874099731445,3
500,BubbleSort,22.240877151489258,4
500,BubbleSort,21.81386947631836,5
500,BubbleSort,22.883176803588867,6
500,BubbleSort,23.008108139038086,7
500,BubbleSort,22.719144821166992,8
500,BubbleSort,25.16007423400879,9
500,BubbleSort,24.302959442138672,10
750,BubbleSort,53.175926208496094,1
750,BubbleSort,55.51409721374512,2
750,BubbleSort,55.346012115478516,3
750,BubbleSort,55.95898628234863,4
750,BubbleSort,54.670095443725586,5
750,BubbleSort,52.622079849243164,6
750,BubbleSort,51.760196685791016,7
750,BubbleSort,51.928043365478516,8
750,BubbleSort,53.6808967590332,9
750,BubbleSort,55.04608154296875,10
1000,BubbleSort,94.51103210449219,1
1000,BubbleSort,100.13318061828613,2
1000,BubbleSort,104.94089126586914,3
1000,BubbleSort,98.41418266296387,4
1000,BubbleSort,95.39318084716797,5
1000,BubbleSort,94.60902214050293,6
1000,BubbleSort,100.48198699951172,7
1000,BubbleSort,101.63688659667969,8
1000,BubbleSort,102.71787643432617,9
1000,BubbleSort,95.4749584197998,10
1250,BubbleSort,152.30178833007812,1
1250,BubbleSort,155.20286560058594,2
1250,BubbleSort,156.2633514404297,3
1250,BubbleSort,159.34205055236816,4
1250,BubbleSort,154.35218811035156,5
1250,BubbleSort,154.2198657989502,6
1250,BubbleSort,162.65416145324707,7
1250,BubbleSort,164.61634635925293,8
1250,BubbleSort,165.6820774078369,9
1250,BubbleSort,164.7188663482666,10
2500,BubbleSort,654.3920040130615,1
2500,BubbleSort,616.5046691894531,2
2500,BubbleSort,619.8358535766602,3
2500,BubbleSort,643.395185470581,4
