Size,Sort,Times,trialNo
250,BubbleSort,0.009605169296264648,1
250,BubbleSort,0.009247064590454102,2
250,BubbleSort,0.006281137466430664,3
250,BubbleSort,0.005383014678955078,4
250,BubbleSort,0.00675201416015625,5
500,BubbleSort,0.023857831954956055,1
500,BubbleSort,0.02189803123474121,2
500,BubbleSort,0.022984027862548828,3
500,BubbleSort,0.021745920181274414,4
500,BubbleSort,0.022064924240112305,5
1000,BubbleSort,0.09478402137756348,1
1000,BubbleSort,0.09637212753295898,2
1000,BubbleSort,0.09730100631713867,3
1000,BubbleSort,0.10481619834899902,4
1000,BubbleSort,0.12121796607971191,5
250,CountingSort,9.012222290039062e-05,1
250,CountingSort,9.703636169433594e-05,2
250,CountingSort,0.00016188621520996094,3
250,CountingSort,0.00016307830810546875,4
250,CountingSort,0.0016298294067382812,5
500,CountingSort,0.00030684471130371094,1
500,CountingSort,0.0003399848937988281,2
500,CountingSort,0.0003020763397216797,3
500,CountingSort,0.0002067089080810547,4
500,CountingSort,0.00021386146545410156,5
1000,CountingSort,0.0006008148193359375,1
1000,CountingSort,0.0005919933319091797,2
1000,CountingSort,0.0002951622009277344,3
1000,CountingSort,0.00028896331787109375,4
1000,CountingSort,0.0006489753723144531,5
250,insertionSort,0.004972219467163086,1
250,insertionSort,0.005077838897705078,2
250,insertionSort,0.0030198097229003906,3
250,insertionSort,0.004838228225708008,4
250,insertionSort,0.003598928451538086,5
500,insertionSort,0.013313055038452148,1
500,insertionSort,0.010130882263183594,2
500,insertionSort,0.010418176651000977,3
500,insertionSort,0.01101374626159668,4
500,insertionSort,0.009713172912597656,5
1000,insertionSort,0.04806780815124512,1
1000,insertionSort,0.04552412033081055,2
1000,insertionSort,0.04433894157409668,3
1000,insertionSort,0.04453396797180176,4
1000,insertionSort,0.045835018157958984,5
250,mergeSort,0.001058816909790039,1
250,mergeSort,0.0017278194427490234,2
250,mergeSort,0.0017421245574951172,3
250,mergeSort,0.0016787052154541016,4
250,mergeSort,0.0017137527465820312,5
500,mergeSort,0.003947734832763672,1
500,mergeSort,0.002260923385620117,2
500,mergeSort,0.0019221305847167969,3
500,mergeSort,0.0018308162689208984,4
500,mergeSort,0.002418994903564453,5
1000,mergeSort,0.005908966064453125,1
1000,mergeSort,0.004398822784423828,2
1000,mergeSort,0.0044291019439697266,3
1000,mergeSort,0.004261970520019531,4
1000,mergeSort,0.00458216667175293,5
250,quickSort,0.00046515464782714844,1
250,quickSort,0.0011899471282958984,2
250,quickSort,0.0011129379272460938,3
250,quickSort,0.0019919872283935547,4
250,quickSort,0.0005602836608886719,5
500,quickSort,0.0015158653259277344,1
500,quickSort,0.0012421607971191406,2
500,quickSort,0.0021049976348876953,3
500,quickSort,0.0013298988342285156,4
500,quickSort,0.001219034194946289,5
1000,quickSort,0.003503084182739258,1
1000,quickSort,0.0028600692749023438,2
1000,quickSort,0.0044307708740234375,3
1000,quickSort,0.003119230270385742,4
1000,quickSort,0.002955198287963867,5
