Size,Sort,Times,trialNo
100,BubbleSort,1.798868179321289,1
100,BubbleSort,1.8110275268554688,2
100,BubbleSort,1.8298625946044922,3
100,BubbleSort,2.1238327026367188,4
100,BubbleSort,2.4290084838867188,5
250,BubbleSort,13.070821762084961,1
250,BubbleSort,6.088018417358398,2
250,BubbleSort,11.039972305297852,3
250,BubbleSort,10.585784912109375,4
250,BubbleSort,7.169008255004883,5
500,BubbleSort,41.14508628845215,1
500,BubbleSort,76.85708999633789,2
500,BubbleSort,32.71126747131348,3
500,BubbleSort,22.919893264770508,4
500,BubbleSort,26.875019073486328,5
750,BubbleSort,52.459001541137695,1
750,BubbleSort,52.40225791931152,2
750,BubbleSort,88.37604522705078,3
750,BubbleSort,72.62492179870605,4
750,BubbleSort,54.10194396972656,5
1000,BubbleSort,95.9310531616211,1
1000,BubbleSort,101.19891166687012,2
1000,BubbleSort,102.4019718170166,3
1000,BubbleSort,109.54475402832031,4
1000,BubbleSort,95.6580638885498,5
1250,BubbleSort,158.47301483154297,1
1250,BubbleSort,175.13585090637207,2
1250,BubbleSort,189.11123275756836,3
1250,BubbleSort,167.94872283935547,4
1250,BubbleSort,159.8520278930664,5
2500,BubbleSort,632.7779293060303,1
2500,BubbleSort,626.4429092407227,2
2500,BubbleSort,616.3251399993896,3
2500,BubbleSort,618.4239387512207,4
2500,BubbleSort,623.6369609832764,5
3750,BubbleSort,1407.7718257904053,1
3750,BubbleSort,1395.7152366638184,2
3750,BubbleSort,1403.6281108856201,3
3750,BubbleSort,1410.428762435913,4
3750,BubbleSort,1409.7168445587158,5
5000,BubbleSort,2514.4782066345215,1
5000,BubbleSort,2527.613878250122,2
5000,BubbleSort,2620.7988262176514,3
5000,BubbleSort,2553.652048110962,4
5000,BubbleSort,2543.520927429199,5
6250,BubbleSort,3942.6090717315674,1
6250,BubbleSort,3906.7838191986084,2
6250,BubbleSort,3946.3701248168945,3
6250,BubbleSort,3931.540012359619,4
6250,BubbleSort,3943.9291954040527,5
7500,BubbleSort,5653.312921524048,1
7500,BubbleSort,5708.870887756348,2
7500,BubbleSort,5696.5012550354,3
7500,BubbleSort,5764.5697593688965,4
7500,BubbleSort,5694.69428062439,5
8750,BubbleSort,7769.689321517944,1
8750,BubbleSort,7709.284067153931,2
8750,BubbleSort,7711.0230922698975,3
8750,BubbleSort,7698.54998588562,4
8750,BubbleSort,7724.009990692139,5
10000,BubbleSort,10144.706010818481,1
10000,BubbleSort,10172.580003738403,2
10000,BubbleSort,10079.684257507324,3
10000,BubbleSort,10103.116035461426,4
10000,BubbleSort,10079.674005508423,5
100,CountingSort,0.04792213439941406,1
100,CountingSort,0.04291534423828125,2
100,CountingSort,0.04076957702636719,3
100,CountingSort,0.04100799560546875,4
100,CountingSort,0.04100799560546875,5
250,CountingSort,0.08296966552734375,1
250,CountingSort,0.1049041748046875,2
250,CountingSort,0.08606910705566406,3
250,CountingSort,0.09584426879882812,4
250,CountingSort,0.08511543273925781,5
500,CountingSort,0.31304359436035156,1
500,CountingSort,0.16117095947265625,2
500,CountingSort,0.15115737915039062,3
500,CountingSort,0.1690387725830078,4
500,CountingSort,0.2872943878173828,5
750,CountingSort,0.9529590606689453,1
750,CountingSort,0.30517578125,2
750,CountingSort,0.2579689025878906,3
750,CountingSort,0.21886825561523438,4
750,CountingSort,0.4780292510986328,5
1000,CountingSort,0.3020763397216797,1
1000,CountingSort,0.5130767822265625,2
1000,CountingSort,0.8368492126464844,3
1000,CountingSort,0.4639625549316406,4
1000,CountingSort,0.2968311309814453,5
1250,CountingSort,0.35190582275390625,1
1250,CountingSort,0.3597736358642578,2
1250,CountingSort,0.7960796356201172,3
1250,CountingSort,0.6198883056640625,4
1250,CountingSort,0.6988048553466797,5
2500,CountingSort,0.7381439208984375,1
2500,CountingSort,1.1639595031738281,2
2500,CountingSort,1.6069412231445312,3
2500,CountingSort,1.352071762084961,4
2500,CountingSort,0.7097721099853516,5
3750,CountingSort,1.0230541229248047,1
3750,CountingSort,1.0309219360351562,2
3750,CountingSort,1.0688304901123047,3
3750,CountingSort,1.0271072387695312,4
3750,CountingSort,1.0170936584472656,5
5000,CountingSort,1.3592243194580078,1
5000,CountingSort,1.3930797576904297,2
5000,CountingSort,1.355886459350586,3
5000,CountingSort,1.3551712036132812,4
5000,CountingSort,1.40380859375,5
6250,CountingSort,1.7018318176269531,1
6250,CountingSort,1.6939640045166016,2
6250,CountingSort,1.9378662109375,3
6250,CountingSort,1.6980171203613281,4
6250,CountingSort,1.734018325805664,5
7500,CountingSort,2.0270347595214844,1
7500,CountingSort,2.0301342010498047,2
7500,CountingSort,2.251148223876953,3
7500,CountingSort,2.034902572631836,4
7500,CountingSort,2.0329952239990234,5
8750,CountingSort,2.4220943450927734,1
8750,CountingSort,2.5017261505126953,2
8750,CountingSort,2.3679733276367188,3
8750,CountingSort,2.7680397033691406,4
8750,CountingSort,2.7587413787841797,5
10000,CountingSort,2.785921096801758,1
10000,CountingSort,2.6960372924804688,2
10000,CountingSort,2.69317626953125,3
10000,CountingSort,2.6998519897460938,4
10000,CountingSort,4.272937774658203,5
100,insertionSort,0.4239082336425781,1
100,insertionSort,0.37288665771484375,2
100,insertionSort,0.6079673767089844,3
100,insertionSort,0.5400180816650391,4
100,insertionSort,0.8330345153808594,5
250,insertionSort,5.105257034301758,1
250,insertionSort,4.076957702636719,2
250,insertionSort,4.138946533203125,3
250,insertionSort,2.562999725341797,4
250,insertionSort,2.8259754180908203,5
500,insertionSort,12.157917022705078,1
500,insertionSort,11.359691619873047,2
500,insertionSort,10.848045349121094,3
500,insertionSort,10.557889938354492,4
500,insertionSort,10.497093200683594,5
750,insertionSort,23.873090744018555,1
750,insertionSort,24.53303337097168,2
750,insertionSort,24.10292625427246,3
750,insertionSort,25.74300765991211,4
750,insertionSort,25.074005126953125,5
1000,insertionSort,43.515920639038086,1
1000,insertionSort,44.60000991821289,2
1000,insertionSort,45.882225036621094,3
1000,insertionSort,44.88396644592285,4
1000,insertionSort,44.278860092163086,5
1250,insertionSort,71.8073844909668,1
1250,insertionSort,72.07775115966797,2
1250,insertionSort,72.64590263366699,3
1250,insertionSort,70.81723213195801,4
1250,insertionSort,70.44100761413574,5
2500,insertionSort,291.05377197265625,1
2500,insertionSort,289.1724109649658,2
2500,insertionSort,282.5789451599121,3
2500,insertionSort,297.43194580078125,4
2500,insertionSort,292.9971218109131,5
3750,insertionSort,638.7560367584229,1
3750,insertionSort,651.5688896179199,2
3750,insertionSort,637.3767852783203,3
3750,insertionSort,649.3690013885498,4
3750,insertionSort,649.1730213165283,5
5000,insertionSort,1144.5550918579102,1
5000,insertionSort,1140.1050090789795,2
5000,insertionSort,1151.7841815948486,3
5000,insertionSort,1152.5938510894775,4
5000,insertionSort,1136.3790035247803,5
6250,insertionSort,1821.901798248291,1
6250,insertionSort,1831.413984298706,2
6250,insertionSort,1823.493242263794,3
6250,insertionSort,1784.6887111663818,4
6250,insertionSort,1792.1440601348877,5
7500,insertionSort,2610.1622581481934,1
7500,insertionSort,2580.0440311431885,2
7500,insertionSort,2574.734926223755,3
7500,insertionSort,2633.0270767211914,4
7500,insertionSort,2609.4460487365723,5
8750,insertionSort,3585.6759548187256,1
8750,insertionSort,3587.941884994507,2
8750,insertionSort,3527.3499488830566,3
8750,insertionSort,3499.1209506988525,4
8750,insertionSort,3563.344955444336,5
10000,insertionSort,4627.771854400635,1
10000,insertionSort,4612.016201019287,2
10000,insertionSort,4635.349988937378,3
10000,insertionSort,4620.816946029663,4
10000,insertionSort,4578.567981719971,5
100,mergeSort,0.3712177276611328,1
100,mergeSort,0.2942085266113281,2
100,mergeSort,0.30303001403808594,3
100,mergeSort,0.36787986755371094,4
100,mergeSort,0.2982616424560547,5
250,mergeSort,0.8559226989746094,1
250,mergeSort,0.8487701416015625,2
250,mergeSort,0.9407997131347656,3
250,mergeSort,1.5268325805664062,4
250,mergeSort,1.2080669403076172,5
500,mergeSort,2.7441978454589844,1
500,mergeSort,1.8718242645263672,2
500,mergeSort,3.846883773803711,3
500,mergeSort,1.9199848175048828,4
500,mergeSort,1.8579959869384766,5
750,mergeSort,2.975940704345703,1
750,mergeSort,3.1309127807617188,2
750,mergeSort,3.522157669067383,3
750,mergeSort,3.4189224243164062,4
750,mergeSort,2.9709339141845703,5
1000,mergeSort,4.09388542175293,1
1000,mergeSort,4.257917404174805,2
1000,mergeSort,4.126071929931641,3
1000,mergeSort,4.087686538696289,4
1000,mergeSort,4.081964492797852,5
1250,mergeSort,5.33604621887207,1
1250,mergeSort,5.348920822143555,2
1250,mergeSort,5.537986755371094,3
1250,mergeSort,5.307674407958984,4
1250,mergeSort,5.306720733642578,5
2500,mergeSort,11.557817459106445,1
2500,mergeSort,11.564970016479492,2
2500,mergeSort,12.447834014892578,3
2500,mergeSort,11.559009552001953,4
2500,mergeSort,11.829137802124023,5
3750,mergeSort,18.119096755981445,1
3750,mergeSort,18.15199851989746,2
3750,mergeSort,19.159793853759766,3
3750,mergeSort,18.130064010620117,4
3750,mergeSort,18.24498176574707,5
5000,mergeSort,25.178194046020508,1
5000,mergeSort,25.116920471191406,2
5000,mergeSort,25.17080307006836,3
5000,mergeSort,25.112152099609375,4
5000,mergeSort,25.127887725830078,5
6250,mergeSort,32.254934310913086,1
6250,mergeSort,32.83810615539551,2
6250,mergeSort,32.0889949798584,3
6250,mergeSort,32.095909118652344,4
6250,mergeSort,32.382965087890625,5
7500,mergeSort,39.241790771484375,1
7500,mergeSort,39.23487663269043,2
7500,mergeSort,39.399147033691406,3
7500,mergeSort,39.37101364135742,4
7500,mergeSort,39.24202919006348,5
8750,mergeSort,47.13106155395508,1
