Size,Sort,Times,trialNo
100,CountingSort,0.08177757263183594,1
100,CountingSort,0.04315376281738281,2
100,CountingSort,0.0400543212890625,3
100,CountingSort,0.04100799560546875,4
100,CountingSort,0.0400543212890625,5
100,CountingSort,0.03981590270996094,6
100,CountingSort,0.0400543212890625,7
100,CountingSort,0.04029273986816406,8
100,CountingSort,0.03981590270996094,9
100,CountingSort,0.04029273986816406,10
250,CountingSort,0.0820159912109375,1
250,CountingSort,0.0820159912109375,2
250,CountingSort,0.08177757263183594,3
250,CountingSort,0.08392333984375,4
250,CountingSort,0.0820159912109375,5
250,CountingSort,0.10991096496582031,6
250,CountingSort,0.0820159912109375,7
250,CountingSort,0.0820159912109375,8
250,CountingSort,0.08225440979003906,9
250,CountingSort,0.08082389831542969,10
500,CountingSort,0.1499652862548828,1
500,CountingSort,0.14972686767578125,2
500,CountingSort,0.1480579376220703,3
500,CountingSort,0.15473365783691406,4
500,CountingSort,0.1499652862548828,5
500,CountingSort,0.1571178436279297,6
500,CountingSort,0.1499652862548828,7
500,CountingSort,0.14901161193847656,8
500,CountingSort,0.1499652862548828,9
500,CountingSort,0.14901161193847656,10
750,CountingSort,0.2219676971435547,1
750,CountingSort,0.21600723266601562,2
750,CountingSort,0.21600723266601562,3
750,CountingSort,0.21505355834960938,4
750,CountingSort,0.22602081298828125,5
750,CountingSort,0.21505355834960938,6
750,CountingSort,0.2129077911376953,7
750,CountingSort,0.21505355834960938,8
750,CountingSort,0.4200935363769531,9
750,CountingSort,0.42700767517089844,10
1000,CountingSort,0.5719661712646484,1
1000,CountingSort,0.4322528839111328,2
1000,CountingSort,0.3459453582763672,3
1000,CountingSort,0.3190040588378906,4
1000,CountingSort,0.4448890686035156,5
1000,CountingSort,0.293731689453125,6
1000,CountingSort,0.2949237823486328,7
1000,CountingSort,0.3237724304199219,8
1000,CountingSort,0.2932548522949219,9
1000,CountingSort,0.2970695495605469,10
1250,CountingSort,0.3819465637207031,1
1250,CountingSort,0.6520748138427734,2
1250,CountingSort,0.8890628814697266,3
1250,CountingSort,0.6089210510253906,4
1250,CountingSort,0.36406517028808594,5
1250,CountingSort,0.37360191345214844,6
1250,CountingSort,0.3497600555419922,7
1250,CountingSort,0.34999847412109375,8
1250,CountingSort,0.3490447998046875,9
1250,CountingSort,0.3497600555419922,10
2500,CountingSort,0.7710456848144531,1
2500,CountingSort,0.701904296875,2
2500,CountingSort,0.7021427154541016,3
2500,CountingSort,0.6999969482421875,4
2500,CountingSort,0.6921291351318359,5
2500,CountingSort,0.6909370422363281,6
2500,CountingSort,0.7781982421875,7
2500,CountingSort,0.6940364837646484,8
2500,CountingSort,0.6878376007080078,9
2500,CountingSort,0.6890296936035156,10
3750,CountingSort,1.1720657348632812,1
3750,CountingSort,1.1529922485351562,2
3750,CountingSort,1.0929107666015625,3
3750,CountingSort,1.1091232299804688,4
3750,CountingSort,1.0223388671875,5
3750,CountingSort,1.0228157043457031,6
3750,CountingSort,1.0838508605957031,7
3750,CountingSort,1.0311603546142578,8
3750,CountingSort,1.024007797241211,9
3750,CountingSort,1.0581016540527344,10
5000,CountingSort,1.4410018920898438,1
5000,CountingSort,1.3890266418457031,2
5000,CountingSort,1.3740062713623047,3
5000,CountingSort,1.3790130615234375,4
5000,CountingSort,1.3806819915771484,5
5000,CountingSort,1.363992691040039,6
5000,CountingSort,1.3942718505859375,7
5000,CountingSort,1.363992691040039,8
5000,CountingSort,1.3751983642578125,9
5000,CountingSort,1.5070438385009766,10
