Size,Sort,Times,trialNo
100,insertionSort,0.023126602172851562,1
100,insertionSort,0.0209808349609375,2
100,insertionSort,0.02002716064453125,3
100,insertionSort,0.02002716064453125,4
100,insertionSort,0.019788742065429688,5
250,insertionSort,0.05507469177246094,1
250,insertionSort,0.048160552978515625,2
250,insertionSort,0.048160552978515625,3
250,insertionSort,0.04792213439941406,4
250,insertionSort,0.08606910705566406,5
500,insertionSort,0.1900196075439453,1
500,insertionSort,0.18930435180664062,2
500,insertionSort,0.19621849060058594,3
500,insertionSort,0.2028942108154297,4
500,insertionSort,0.3650188446044922,5
750,insertionSort,0.3581047058105469,1
750,insertionSort,0.26106834411621094,2
750,insertionSort,0.16307830810546875,3
750,insertionSort,0.4639625549316406,4
750,insertionSort,0.3039836883544922,5
1000,insertionSort,0.22077560424804688,1
1000,insertionSort,0.24199485778808594,2
1000,insertionSort,0.44989585876464844,3
1000,insertionSort,0.44918060302734375,4
1000,insertionSort,0.3719329833984375,5
1250,insertionSort,0.3077983856201172,1
1250,insertionSort,0.2830028533935547,2
1250,insertionSort,0.29397010803222656,3
1250,insertionSort,0.28204917907714844,4
1250,insertionSort,0.31280517578125,5
2500,insertionSort,0.5941390991210938,1
2500,insertionSort,1.0528564453125,2
2500,insertionSort,0.8578300476074219,3
2500,insertionSort,0.5669593811035156,4
2500,insertionSort,1.1761188507080078,5
3750,insertionSort,1.7349720001220703,1
3750,insertionSort,0.8919239044189453,2
3750,insertionSort,0.8988380432128906,3
3750,insertionSort,0.8800029754638672,4
3750,insertionSort,0.9009838104248047,5
5000,insertionSort,1.1997222900390625,1
5000,insertionSort,1.4886856079101562,2
5000,insertionSort,1.191854476928711,3
5000,insertionSort,1.8379688262939453,4
5000,insertionSort,1.2500286102294922,5
6250,insertionSort,1.6770362854003906,1
6250,insertionSort,1.4979839324951172,2
6250,insertionSort,1.5311241149902344,3
6250,insertionSort,1.6949176788330078,4
6250,insertionSort,1.5668869018554688,5
7500,insertionSort,2.156972885131836,1
7500,insertionSort,1.9710063934326172,2
7500,insertionSort,1.7132759094238281,3
7500,insertionSort,1.9488334655761719,4
7500,insertionSort,1.7991065979003906,5
8750,insertionSort,1.9869804382324219,1
8750,insertionSort,2.0411014556884766,2
8750,insertionSort,2.0110607147216797,3
8750,insertionSort,1.9969940185546875,4
8750,insertionSort,1.992940902709961,5
10000,insertionSort,2.3131370544433594,1
10000,insertionSort,2.279996871948242,2
10000,insertionSort,2.393960952758789,3
10000,insertionSort,2.9268264770507812,4
10000,insertionSort,3.5991668701171875,5
100,mergeSort,0.32210350036621094,1
100,mergeSort,0.5352497100830078,2
100,mergeSort,0.2696514129638672,3
100,mergeSort,0.26798248291015625,4
100,mergeSort,0.2942085266113281,5
250,mergeSort,0.8211135864257812,1
250,mergeSort,0.8149147033691406,2
250,mergeSort,0.8137226104736328,3
250,mergeSort,0.8099079132080078,4
250,mergeSort,0.7648468017578125,5
500,mergeSort,1.6520023345947266,1
500,mergeSort,1.6682147979736328,2
