Size,Sort,Times,trialNo
100,BubbleSort,1.15203857421875,1
100,BubbleSort,1.1441707611083984,2
100,BubbleSort,1.149892807006836,3
100,BubbleSort,1.1458396911621094,4
100,BubbleSort,1.4300346374511719,5
250,BubbleSort,11.89112663269043,1
250,BubbleSort,9.640932083129883,2
250,BubbleSort,11.157989501953125,3
250,BubbleSort,9.230852127075195,4
250,BubbleSort,7.725000381469727,5
500,BubbleSort,32.78493881225586,1
500,BubbleSort,32.763004302978516,2
500,BubbleSort,33.316850662231445,3
500,BubbleSort,33.41817855834961,4
500,BubbleSort,33.77413749694824,5
750,BubbleSort,92.43178367614746,1
750,BubbleSort,75.3469467163086,2
750,BubbleSort,73.78911972045898,3
750,BubbleSort,74.09405708312988,4
750,BubbleSort,78.42779159545898,5
1000,BubbleSort,146.04425430297852,1
1000,BubbleSort,134.48786735534668,2
1000,BubbleSort,135.62583923339844,3
1000,BubbleSort,137.2849941253662,4
1000,BubbleSort,142.42315292358398,5
1250,BubbleSort,220.97182273864746,1
1250,BubbleSort,225.46124458312988,2
1250,BubbleSort,225.94904899597168,3
1250,BubbleSort,210.30282974243164,4
1250,BubbleSort,212.45288848876953,5
2500,BubbleSort,918.0212020874023,1
2500,BubbleSort,899.5230197906494,2
2500,BubbleSort,861.3548278808594,3
2500,BubbleSort,863.5849952697754,4
2500,BubbleSort,868.9188957214355,5
3750,BubbleSort,1961.2102508544922,1
3750,BubbleSort,1960.4988098144531,2
3750,BubbleSort,1974.7729301452637,3
3750,BubbleSort,1965.2760028839111,4
3750,BubbleSort,1967.538833618164,5
5000,BubbleSort,3513.1988525390625,1
5000,BubbleSort,3524.5888233184814,2
5000,BubbleSort,3593.644142150879,3
5000,BubbleSort,3710.2770805358887,4
5000,BubbleSort,3718.95694732666,5
100,insertionSort,0.8511543273925781,1
100,insertionSort,0.8711814880371094,2
100,insertionSort,1.0471343994140625,3
100,insertionSort,1.5909671783447266,4
100,insertionSort,1.64794921875,5
250,insertionSort,8.929967880249023,1
250,insertionSort,7.4939727783203125,2
250,insertionSort,7.27081298828125,3
250,insertionSort,6.547212600708008,4
250,insertionSort,5.3730010986328125,5
500,insertionSort,22.01104164123535,1
500,insertionSort,22.343873977661133,2
500,insertionSort,22.600889205932617,3
500,insertionSort,23.388147354125977,4
500,insertionSort,21.240234375,5
750,insertionSort,50.68206787109375,1
750,insertionSort,50.01997947692871,2
750,insertionSort,51.863908767700195,3
750,insertionSort,49.84903335571289,4
750,insertionSort,50.46868324279785,5
1000,insertionSort,89.92505073547363,1
1000,insertionSort,90.75117111206055,2
1000,insertionSort,92.90099143981934,3
1000,insertionSort,94.35701370239258,4
1000,insertionSort,98.10304641723633,5
1250,insertionSort,147.35794067382812,1
1250,insertionSort,143.97907257080078,2
1250,insertionSort,151.74293518066406,3
1250,insertionSort,144.39797401428223,4
1250,insertionSort,145.08628845214844,5
2500,insertionSort,594.1340923309326,1
2500,insertionSort,612.3459339141846,2
2500,insertionSort,598.1428623199463,3
2500,insertionSort,600.9390354156494,4
2500,insertionSort,588.7739658355713,5
3750,insertionSort,1340.6641483306885,1
3750,insertionSort,1332.474946975708,2
3750,insertionSort,1347.1062183380127,3
3750,insertionSort,1332.9448699951172,4
3750,insertionSort,1332.3938846588135,5
5000,insertionSort,2418.630838394165,1
5000,insertionSort,2331.3241004943848,2
5000,insertionSort,2310.007095336914,3
5000,insertionSort,2300.7538318634033,4
5000,insertionSort,2296.753168106079,5
100,mergeSort,0.30803680419921875,1
100,mergeSort,0.26607513427734375,2
100,mergeSort,0.2639293670654297,3
100,mergeSort,0.3383159637451172,4
100,mergeSort,0.26488304138183594,5
250,mergeSort,0.7519721984863281,1
250,mergeSort,1.0921955108642578,2
250,mergeSort,0.7529258728027344,3
250,mergeSort,0.8959770202636719,4
250,mergeSort,0.9791851043701172,5
500,mergeSort,2.4793148040771484,1
500,mergeSort,2.1109580993652344,2
500,mergeSort,1.7910003662109375,3
500,mergeSort,1.6162395477294922,4
500,mergeSort,1.619100570678711,5
750,mergeSort,2.777099609375,1
750,mergeSort,3.068208694458008,2
750,mergeSort,3.0710697174072266,3
750,mergeSort,2.5920867919921875,4
750,mergeSort,2.6209354400634766,5
1000,mergeSort,3.535032272338867,1
1000,mergeSort,3.5219192504882812,2
1000,mergeSort,3.576040267944336,3
1000,mergeSort,3.5309791564941406,4
1000,mergeSort,3.515005111694336,5
1250,mergeSort,4.623174667358398,1
1250,mergeSort,4.555940628051758,2
1250,mergeSort,4.606962203979492,3
1250,mergeSort,4.540920257568359,4
1250,mergeSort,4.644155502319336,5
2500,mergeSort,10.215997695922852,1
2500,mergeSort,9.857892990112305,2
2500,mergeSort,9.820938110351562,3
2500,mergeSort,9.81903076171875,4
2500,mergeSort,9.824037551879883,5
3750,mergeSort,15.530824661254883,1
3750,mergeSort,15.697240829467773,2
3750,mergeSort,15.31219482421875,3
3750,mergeSort,15.292167663574219,4
3750,mergeSort,16.82591438293457,5
5000,mergeSort,21.185636520385742,1
5000,mergeSort,21.10910415649414,2
5000,mergeSort,21.029233932495117,3
5000,mergeSort,21.08287811279297,4
5000,mergeSort,21.12603187561035,5
100,CountingSort,0.04482269287109375,1
100,CountingSort,0.04315376281738281,2
100,CountingSort,0.04100799560546875,3
100,CountingSort,0.04076957702636719,4
100,CountingSort,0.03981590270996094,5
250,CountingSort,0.08225440979003906,1
250,CountingSort,0.10585784912109375,2
250,CountingSort,0.0820159912109375,3
250,CountingSort,0.08893013000488281,4
250,CountingSort,0.08296966552734375,5
500,CountingSort,0.15163421630859375,1
500,CountingSort,0.15091896057128906,2
500,CountingSort,0.16379356384277344,3
500,CountingSort,0.2841949462890625,4
500,CountingSort,0.2429485321044922,5
750,CountingSort,0.2639293670654297,1
750,CountingSort,0.21505355834960938,2
750,CountingSort,0.3750324249267578,3
750,CountingSort,0.22411346435546875,4
750,CountingSort,0.28777122497558594,5
1000,CountingSort,0.2841949462890625,1
1000,CountingSort,0.28204917907714844,2
1000,CountingSort,0.2810955047607422,3
1000,CountingSort,0.2810955047607422,4
1000,CountingSort,0.28395652770996094,5
1250,CountingSort,0.34999847412109375,1
1250,CountingSort,0.347137451171875,2
1250,CountingSort,0.34689903259277344,3
1250,CountingSort,0.4138946533203125,4
1250,CountingSort,0.47326087951660156,5
2500,CountingSort,0.701904296875,1
2500,CountingSort,0.6928443908691406,2
2500,CountingSort,0.6878376007080078,3
2500,CountingSort,0.6809234619140625,4
2500,CountingSort,0.6802082061767578,5
3750,CountingSort,1.0149478912353516,1
3750,CountingSort,1.0118484497070312,2
3750,CountingSort,1.0120868682861328,3
3750,CountingSort,1.0151863098144531,4
3750,CountingSort,1.0142326354980469,5
5000,CountingSort,1.3508796691894531,1
5000,CountingSort,1.3496875762939453,2
5000,CountingSort,1.3480186462402344,3
5000,CountingSort,1.3513565063476562,4
5000,CountingSort,1.3496875762939453,5
