Size,Sort,Times,trialNo
250,BubbleSort,7.18379020690918,1
250,BubbleSort,8.933782577514648,2
250,BubbleSort,7.984161376953125,3
250,BubbleSort,8.107900619506836,4
250,BubbleSort,7.888078689575195,5
500,BubbleSort,32.636165618896484,1
500,BubbleSort,31.708717346191406,2
500,BubbleSort,31.603097915649414,3
500,BubbleSort,44.29316520690918,4
500,BubbleSort,54.59403991699219,5
1000,BubbleSort,317.9018497467041,1
1000,BubbleSort,143.4769630432129,2
1000,BubbleSort,142.83013343811035,3
1000,BubbleSort,193.03321838378906,4
1000,BubbleSort,149.77526664733887,5
250,insertionSort,6.937742233276367,1
250,insertionSort,6.744861602783203,2
250,insertionSort,11.523723602294922,3
250,insertionSort,5.903959274291992,4
250,insertionSort,6.075859069824219,5
500,insertionSort,28.027057647705078,1
500,insertionSort,22.336959838867188,2
500,insertionSort,25.928020477294922,3
500,insertionSort,21.342992782592773,4
500,insertionSort,21.561145782470703,5
1000,insertionSort,92.59295463562012,1
1000,insertionSort,98.68216514587402,2
1000,insertionSort,87.64195442199707,3
1000,insertionSort,97.34296798706055,4
1000,insertionSort,88.87410163879395,5
250,mergeSort,0.7741451263427734,1
250,mergeSort,0.7669925689697266,2
250,mergeSort,0.8220672607421875,3
250,mergeSort,1.096963882446289,4
250,mergeSort,1.0020732879638672,5
500,mergeSort,2.0389556884765625,1
500,mergeSort,3.240346908569336,2
500,mergeSort,2.1109580993652344,3
500,mergeSort,2.0728111267089844,4
500,mergeSort,1.8069744110107422,5
1000,mergeSort,4.054784774780273,1
1000,mergeSort,3.6079883575439453,2
1000,mergeSort,3.9811134338378906,3
1000,mergeSort,3.6013126373291016,4
1000,mergeSort,3.5719871520996094,5
250,quickSort,3.8330554962158203,1
250,quickSort,3.9501190185546875,2
250,quickSort,3.6351680755615234,3
250,quickSort,3.2896995544433594,4
250,quickSort,3.543853759765625,5
500,quickSort,14.18614387512207,1
500,quickSort,13.360023498535156,2
500,quickSort,13.372182846069336,3
500,quickSort,13.451099395751953,4
500,quickSort,13.331890106201172,5
1000,quickSort,65.33098220825195,1
1000,quickSort,57.5251579284668,2
1000,quickSort,57.420969009399414,3
1000,quickSort,66.24293327331543,4
1000,quickSort,59.248924255371094,5
250,CountingSort,0.08988380432128906,1
250,CountingSort,0.08392333984375,2
250,CountingSort,0.21409988403320312,3
250,CountingSort,0.10132789611816406,4
250,CountingSort,0.09608268737792969,5
500,CountingSort,0.15163421630859375,1
500,CountingSort,0.1499652862548828,2
500,CountingSort,0.14901161193847656,3
500,CountingSort,0.14901161193847656,4
500,CountingSort,0.14781951904296875,5
1000,CountingSort,0.28204917907714844,1
1000,CountingSort,0.37598609924316406,2
1000,CountingSort,0.2830028533935547,3
1000,CountingSort,0.2818107604980469,4
1000,CountingSort,0.2830028533935547,5
