Size,Sort,Times,trialNo
100,BubbleSort,1.7130374908447266,1
100,BubbleSort,1.3070106506347656,2
100,BubbleSort,0.8821487426757812,3
100,BubbleSort,0.8871555328369141,4
100,BubbleSort,0.9531974792480469,5
100,BubbleSort,0.9348392486572266,6
100,BubbleSort,0.8990764617919922,7
100,BubbleSort,1.9869804382324219,8
100,BubbleSort,2.2280216217041016,9
100,BubbleSort,1.767873764038086,10
250,BubbleSort,9.370088577270508,1
250,BubbleSort,6.992101669311523,2
250,BubbleSort,6.3629150390625,3
250,BubbleSort,7.1010589599609375,4
250,BubbleSort,5.0640106201171875,5
250,BubbleSort,5.170106887817383,6
250,BubbleSort,5.339860916137695,7
250,BubbleSort,5.150794982910156,8
250,BubbleSort,5.18798828125,9
250,BubbleSort,5.948066711425781,10
500,BubbleSort,22.431373596191406,1
500,BubbleSort,22.67289161682129,2
500,BubbleSort,21.677017211914062,3
500,BubbleSort,22.221088409423828,4
500,BubbleSort,22.50194549560547,5
500,BubbleSort,21.835803985595703,6
500,BubbleSort,21.776914596557617,7
500,BubbleSort,21.918058395385742,8
500,BubbleSort,23.52285385131836,9
500,BubbleSort,22.520065307617188,10
750,BubbleSort,52.2003173828125,1
750,BubbleSort,55.203914642333984,2
750,BubbleSort,54.158687591552734,3
750,BubbleSort,53.771018981933594,4
750,BubbleSort,53.07483673095703,5
750,BubbleSort,60.539960861206055,6
750,BubbleSort,56.149959564208984,7
750,BubbleSort,56.804656982421875,8
750,BubbleSort,56.05363845825195,9
750,BubbleSort,53.47180366516113,10
1000,BubbleSort,96.12631797790527,1
1000,BubbleSort,94.35391426086426,2
1000,BubbleSort,95.22318840026855,3
1000,BubbleSort,100.30889511108398,4
1000,BubbleSort,101.0138988494873,5
1000,BubbleSort,101.1512279510498,6
1000,BubbleSort,101.88126564025879,7
1000,BubbleSort,95.87883949279785,8
1000,BubbleSort,99.28321838378906,9
1000,BubbleSort,101.96208953857422,10
1250,BubbleSort,156.8739414215088,1
1250,BubbleSort,150.70700645446777,2
1250,BubbleSort,153.34510803222656,3
1250,BubbleSort,158.57720375061035,4
1250,BubbleSort,172.58501052856445,5
1250,BubbleSort,163.17105293273926,6
1250,BubbleSort,154.1769504547119,7
1250,BubbleSort,161.23199462890625,8
1250,BubbleSort,163.56992721557617,9
1250,BubbleSort,163.18416595458984,10
2500,BubbleSort,662.5800132751465,1
2500,BubbleSort,627.3219585418701,2
2500,BubbleSort,611.0038757324219,3
2500,BubbleSort,614.1018867492676,4
2500,BubbleSort,613.0092144012451,5
2500,BubbleSort,629.1618347167969,6
2500,BubbleSort,613.4791374206543,7
2500,BubbleSort,618.3831691741943,8
2500,BubbleSort,614.959716796875,9
2500,BubbleSort,622.0500469207764,10
3750,BubbleSort,1414.5171642303467,1
3750,BubbleSort,1404.0191173553467,2
3750,BubbleSort,1409.9290370941162,3
3750,BubbleSort,1410.4430675506592,4
3750,BubbleSort,1404.5381546020508,5
3750,BubbleSort,1418.2217121124268,6
3750,BubbleSort,1405.3921699523926,7
3750,BubbleSort,1415.4431819915771,8
3750,BubbleSort,1401.515007019043,9
3750,BubbleSort,1414.3738746643066,10
5000,BubbleSort,2517.0717239379883,1
5000,BubbleSort,2515.568733215332,2
5000,BubbleSort,2511.5489959716797,3
5000,BubbleSort,2620.8040714263916,4
5000,BubbleSort,2767.9481506347656,5
5000,BubbleSort,3300.766944885254,6
5000,BubbleSort,2756.1700344085693,7
5000,BubbleSort,2514.79434967041,8
5000,BubbleSort,2537.8007888793945,9
5000,BubbleSort,2507.516860961914,10
100,InsertionSort,0.4138946533203125,1
100,InsertionSort,0.4749298095703125,2
