Size,Sort,Times,trialNo
100,BubbleSort,0.5099773406982422,1
100,BubbleSort,0.4990100860595703,2
100,BubbleSort,0.5049705505371094,3
100,BubbleSort,0.5040168762207031,4
100,BubbleSort,0.5061626434326172,5
250,BubbleSort,5.448102951049805,1
250,BubbleSort,8.064031600952148,2
250,BubbleSort,5.816936492919922,3
250,BubbleSort,6.802797317504883,4
250,BubbleSort,3.0918121337890625,5
500,BubbleSort,18.774986267089844,1
500,BubbleSort,14.552116394042969,2
500,BubbleSort,13.539791107177734,3
500,BubbleSort,14.101982116699219,4
500,BubbleSort,13.157129287719727,5
750,BubbleSort,33.40291976928711,1
750,BubbleSort,39.395809173583984,2
750,BubbleSort,44.718027114868164,3
750,BubbleSort,30.452966690063477,4
750,BubbleSort,30.83324432373047,5
1000,BubbleSort,54.87370491027832,1
1000,BubbleSort,61.42425537109375,2
1000,BubbleSort,79.31017875671387,3
1000,BubbleSort,82.39102363586426,4
1000,BubbleSort,113.71588706970215,5
1250,BubbleSort,110.53967475891113,1
1250,BubbleSort,92.9410457611084,2
1250,BubbleSort,129.63604927062988,3
1250,BubbleSort,115.25988578796387,4
1250,BubbleSort,88.18387985229492,5
2500,BubbleSort,373.71182441711426,1
2500,BubbleSort,363.90113830566406,2
2500,BubbleSort,375.1678466796875,3
2500,BubbleSort,417.70219802856445,4
2500,BubbleSort,387.7980709075928,5
3750,BubbleSort,838.3150100708008,1
3750,BubbleSort,807.563066482544,2
3750,BubbleSort,812.8328323364258,3
3750,BubbleSort,806.9109916687012,4
3750,BubbleSort,810.6718063354492,5
5000,BubbleSort,1441.8728351593018,1
5000,BubbleSort,1459.8770141601562,2
5000,BubbleSort,1442.8901672363281,3
5000,BubbleSort,1438.950777053833,4
5000,BubbleSort,1443.922996520996,5
6250,BubbleSort,2268.8210010528564,1
6250,BubbleSort,2260.625123977661,2
6250,BubbleSort,2398.7419605255127,3
6250,BubbleSort,2918.062925338745,4
6250,BubbleSort,3009.018898010254,5
7500,BubbleSort,3687.1471405029297,1
7500,BubbleSort,3406.9221019744873,2
7500,BubbleSort,3503.2429695129395,3
7500,BubbleSort,3297.9581356048584,4
7500,BubbleSort,4035.8119010925293,5
8750,BubbleSort,6103.846311569214,1
8750,BubbleSort,7139.768123626709,2
8750,BubbleSort,7623.874664306641,3
8750,BubbleSort,6373.890161514282,4
8750,BubbleSort,5042.594194412231,5
10000,BubbleSort,7423.992872238159,1
10000,BubbleSort,6612.239837646484,2
10000,BubbleSort,8269.763946533203,3
10000,BubbleSort,5968.315124511719,4
10000,BubbleSort,5889.750957489014,5
100,insertionSort,0.02384185791015625,1
100,insertionSort,0.0209808349609375,2
100,insertionSort,0.02002716064453125,3
100,insertionSort,0.02002716064453125,4
100,insertionSort,0.0209808349609375,5
250,insertionSort,0.04696846008300781,1
250,insertionSort,0.04673004150390625,2
250,insertionSort,0.04696846008300781,3
250,insertionSort,0.0457763671875,4
250,insertionSort,0.04696846008300781,5
500,insertionSort,0.10800361633300781,1
500,insertionSort,0.10609626770019531,2
500,insertionSort,0.10418891906738281,3
500,insertionSort,0.10371208190917969,4
500,insertionSort,0.10514259338378906,5
750,insertionSort,0.15997886657714844,1
750,insertionSort,0.179290771484375,2
750,insertionSort,0.29587745666503906,3
750,insertionSort,0.5450248718261719,4
750,insertionSort,0.17309188842773438,5
1000,insertionSort,0.21719932556152344,1
1000,insertionSort,0.26607513427734375,2
1000,insertionSort,0.22292137145996094,3
1000,insertionSort,0.2751350402832031,4
1000,insertionSort,0.2880096435546875,5
1250,insertionSort,0.27489662170410156,1
1250,insertionSort,0.2751350402832031,2
1250,insertionSort,0.6070137023925781,3
1250,insertionSort,0.5681514739990234,4
1250,insertionSort,0.27680397033691406,5
2500,insertionSort,0.5581378936767578,1
2500,insertionSort,0.6482601165771484,2
2500,insertionSort,0.5571842193603516,3
2500,insertionSort,0.6008148193359375,4
2500,insertionSort,0.5550384521484375,5
3750,insertionSort,0.8330345153808594,1
3750,insertionSort,0.8339881896972656,2
3750,insertionSort,0.8330345153808594,3
3750,insertionSort,0.8339881896972656,4
3750,insertionSort,0.8327960968017578,5
5000,insertionSort,1.1141300201416016,1
5000,insertionSort,1.112222671508789,2
5000,insertionSort,1.1141300201416016,3
5000,insertionSort,1.112222671508789,4
5000,insertionSort,1.1119842529296875,5
6250,insertionSort,1.3921260833740234,1
6250,insertionSort,1.3918876647949219,2
6250,insertionSort,1.3928413391113281,3
6250,insertionSort,1.3921260833740234,4
6250,insertionSort,1.3918876647949219,5
7500,insertionSort,1.682281494140625,1
7500,insertionSort,1.6748905181884766,2
7500,insertionSort,1.6739368438720703,3
7500,insertionSort,1.6741752624511719,4
7500,insertionSort,1.672983169555664,5
8750,insertionSort,1.9550323486328125,1
8750,insertionSort,1.9528865814208984,2
8750,insertionSort,1.953125,3
8750,insertionSort,1.953125,4
8750,insertionSort,1.953125,5
10000,insertionSort,2.2318363189697266,1
10000,insertionSort,2.2361278533935547,2
10000,insertionSort,2.2361278533935547,3
10000,insertionSort,2.2339820861816406,4
10000,insertionSort,2.238035202026367,5
