Size,Sort,Times,trialNo
100,BubbleSort,0.492095947265625,1
100,BubbleSort,0.48995018005371094,2
100,BubbleSort,0.4889965057373047,3
100,BubbleSort,0.492095947265625,4
100,BubbleSort,0.48995018005371094,5
250,BubbleSort,3.5848617553710938,1
250,BubbleSort,5.457878112792969,2
250,BubbleSort,4.481077194213867,3
250,BubbleSort,4.780054092407227,4
250,BubbleSort,3.854036331176758,5
500,BubbleSort,14.114856719970703,1
500,BubbleSort,13.340234756469727,2
500,BubbleSort,12.811899185180664,3
500,BubbleSort,13.321876525878906,4
500,BubbleSort,12.954950332641602,5
750,BubbleSort,41.77093505859375,1
750,BubbleSort,46.27728462219238,2
750,BubbleSort,32.44495391845703,3
750,BubbleSort,32.498836517333984,4
750,BubbleSort,32.67621994018555,5
1000,BubbleSort,58.4712028503418,1
1000,BubbleSort,56.410789489746094,2
1000,BubbleSort,56.076765060424805,3
1000,BubbleSort,56.58125877380371,4
1000,BubbleSort,55.57107925415039,5
1250,BubbleSort,90.40164947509766,1
1250,BubbleSort,88.90008926391602,2
1250,BubbleSort,88.43398094177246,3
1250,BubbleSort,96.74715995788574,4
1250,BubbleSort,102.19478607177734,5
2500,BubbleSort,444.4451332092285,1
2500,BubbleSort,433.7470531463623,2
2500,BubbleSort,397.97306060791016,3
2500,BubbleSort,381.43110275268555,4
2500,BubbleSort,392.90714263916016,5
3750,BubbleSort,917.8571701049805,1
3750,BubbleSort,973.2961654663086,2
3750,BubbleSort,950.7057666778564,3
3750,BubbleSort,888.0009651184082,4
3750,BubbleSort,872.6739883422852,5
5000,BubbleSort,1583.5747718811035,1
5000,BubbleSort,1626.2688636779785,2
5000,BubbleSort,1581.0229778289795,3
5000,BubbleSort,1535.6237888336182,4
5000,BubbleSort,1534.557819366455,5
6250,BubbleSort,2413.799047470093,1
6250,BubbleSort,2406.198024749756,2
6250,BubbleSort,2438.4500980377197,3
6250,BubbleSort,2414.522886276245,4
6250,BubbleSort,2456.9249153137207,5
7500,BubbleSort,3548.4161376953125,1
7500,BubbleSort,3575.9050846099854,2
7500,BubbleSort,3513.8068199157715,3
7500,BubbleSort,3573.847770690918,4
7500,BubbleSort,3508.885145187378,5
8750,BubbleSort,4894.927024841309,1
8750,BubbleSort,4879.018783569336,2
8750,BubbleSort,4812.697887420654,3
8750,BubbleSort,4835.590124130249,4
8750,BubbleSort,4962.52179145813,5
10000,BubbleSort,6455.006837844849,1
10000,BubbleSort,6335.278272628784,2
10000,BubbleSort,6439.50891494751,3
10000,BubbleSort,6440.474033355713,4
10000,BubbleSort,6472.1009731292725,5
100,insertionSort,0.023126602172851562,1
100,insertionSort,0.018835067749023438,2
100,insertionSort,0.019073486328125,3
100,insertionSort,0.018835067749023438,4
100,insertionSort,0.018835067749023438,5
250,insertionSort,0.04696846008300781,1
250,insertionSort,0.04887580871582031,2
250,insertionSort,0.047206878662109375,3
250,insertionSort,0.04673004150390625,4
250,insertionSort,0.047206878662109375,5
500,insertionSort,0.10395050048828125,1
500,insertionSort,0.10776519775390625,2
500,insertionSort,0.11801719665527344,3
500,insertionSort,0.12111663818359375,4
500,insertionSort,0.1068115234375,5
750,insertionSort,0.3829002380371094,1
750,insertionSort,0.2510547637939453,2
750,insertionSort,0.1621246337890625,3
750,insertionSort,0.41103363037109375,4
750,insertionSort,0.16379356384277344,5
1000,insertionSort,0.21982192993164062,1
1000,insertionSort,0.225067138671875,2
1000,insertionSort,0.2200603485107422,3
1000,insertionSort,0.21767616271972656,4
1000,insertionSort,0.22602081298828125,5
1250,insertionSort,0.2758502960205078,1
1250,insertionSort,0.2779960632324219,2
1250,insertionSort,0.3578662872314453,3
1250,insertionSort,0.31828880310058594,4
1250,insertionSort,0.30684471130371094,5
2500,insertionSort,0.5800724029541016,1
2500,insertionSort,0.5700588226318359,2
2500,insertionSort,0.5688667297363281,3
2500,insertionSort,0.5750656127929688,4
2500,insertionSort,0.5812644958496094,5
3750,insertionSort,0.8611679077148438,1
3750,insertionSort,0.9188652038574219,2
3750,insertionSort,0.8530616760253906,3
3750,insertionSort,0.8809566497802734,4
3750,insertionSort,0.8549690246582031,5
5000,insertionSort,1.1467933654785156,1
5000,insertionSort,1.1870861053466797,2
5000,insertionSort,1.1739730834960938,3
5000,insertionSort,1.2669563293457031,4
5000,insertionSort,1.1827945709228516,5
6250,insertionSort,1.4431476593017578,1
6250,insertionSort,1.44195556640625,2
6250,insertionSort,1.4688968658447266,3
6250,insertionSort,1.4462471008300781,4
6250,insertionSort,1.4977455139160156,5
7500,insertionSort,1.7902851104736328,1
7500,insertionSort,1.7490386962890625,2
7500,insertionSort,1.7459392547607422,3
7500,insertionSort,1.7657279968261719,4
7500,insertionSort,1.7499923706054688,5
8750,insertionSort,2.048015594482422,1
8750,insertionSort,2.067089080810547,2
8750,insertionSort,2.045869827270508,3
8750,insertionSort,2.048015594482422,4
8750,insertionSort,2.063751220703125,5
10000,insertionSort,2.3708343505859375,1
10000,insertionSort,2.4657249450683594,2
10000,insertionSort,2.428293228149414,3
10000,insertionSort,2.885103225708008,4
10000,insertionSort,2.4101734161376953,5
100,mergeSort,0.3261566162109375,1
100,mergeSort,0.2548694610595703,2
100,mergeSort,0.2567768096923828,3
100,mergeSort,0.32329559326171875,4
100,mergeSort,0.2551078796386719,5
250,mergeSort,0.8831024169921875,1
250,mergeSort,0.7297992706298828,2
250,mergeSort,0.7338523864746094,3
250,mergeSort,1.4820098876953125,4
250,mergeSort,1.2960433959960938,5
500,mergeSort,1.6019344329833984,1
500,mergeSort,1.8007755279541016,2
500,mergeSort,1.5871524810791016,3
500,mergeSort,1.5552043914794922,4
500,mergeSort,1.5559196472167969,5
750,mergeSort,2.7260780334472656,1
750,mergeSort,3.576040267944336,2
750,mergeSort,2.480030059814453,3
750,mergeSort,2.466917037963867,4
750,mergeSort,2.4580955505371094,5
1000,mergeSort,3.3919811248779297,1
1000,mergeSort,3.381013870239258,2
1000,mergeSort,3.3888816833496094,3
1000,mergeSort,3.3838748931884766,4
1000,mergeSort,3.6160945892333984,5
1250,mergeSort,4.35185432434082,1
1250,mergeSort,4.379987716674805,2
