,Sort,array sizes,trial_time,trial number
0,BubbleSort,20,4.1961669921875e-05,1
1,BubbleSort,20,6.413459777832031e-05,2
2,BubbleSort,20,6.29425048828125e-05,3
3,BubbleSort,20,6.604194641113281e-05,4
4,BubbleSort,20,7.009506225585938e-05,5
5,BubbleSort,20,7.605552673339844e-05,6
6,BubbleSort,20,8.606910705566406e-05,7
7,BubbleSort,20,7.700920104980469e-05,8
8,BubbleSort,20,7.295608520507812e-05,9
9,BubbleSort,20,7.915496826171875e-05,10
10,BubbleSort,40,0.00019884109497070312,1
11,BubbleSort,40,0.0001709461212158203,2
12,BubbleSort,40,0.00017309188842773438,3
13,BubbleSort,40,0.0001709461212158203,4
14,BubbleSort,40,0.00017189979553222656,5
15,BubbleSort,40,0.00017189979553222656,6
16,BubbleSort,40,0.0001709461212158203,7
17,BubbleSort,40,0.00016498565673828125,8
18,BubbleSort,40,0.00016188621520996094,9
19,BubbleSort,40,0.0001761913299560547,10
20,BubbleSort,60,0.0003399848937988281,1
21,BubbleSort,60,0.0003387928009033203,2
22,BubbleSort,60,0.00035500526428222656,3
23,BubbleSort,60,0.00034689903259277344,4
24,BubbleSort,60,0.00034499168395996094,5
25,BubbleSort,60,0.0003478527069091797,6
26,BubbleSort,60,0.000347137451171875,7
27,BubbleSort,60,0.0003299713134765625,8
28,BubbleSort,60,0.0003600120544433594,9
29,BubbleSort,60,0.0003483295440673828,10
30,BubbleSort,80,0.0008139610290527344,1
31,BubbleSort,80,0.0006098747253417969,2
32,BubbleSort,80,0.0005631446838378906,3
33,BubbleSort,80,0.0005600452423095703,4
34,BubbleSort,80,0.0005958080291748047,5
35,BubbleSort,80,0.0006089210510253906,6
36,BubbleSort,80,0.0005779266357421875,7
37,BubbleSort,80,0.0005688667297363281,8
38,BubbleSort,80,0.0008032321929931641,9
39,BubbleSort,80,0.0005919933319091797,10
40,BubbleSort,100,0.0008571147918701172,1
41,BubbleSort,100,0.0009212493896484375,2
42,BubbleSort,100,0.0008738040924072266,3
43,BubbleSort,100,0.0009109973907470703,4
44,BubbleSort,100,0.0009279251098632812,5
45,BubbleSort,100,0.0008683204650878906,6
46,BubbleSort,100,0.0008869171142578125,7
47,BubbleSort,100,0.0009307861328125,8
48,BubbleSort,100,0.0012881755828857422,9
49,BubbleSort,100,0.0009288787841796875,10
50,CountingSort,20,1.7881393432617188e-05,1
51,CountingSort,20,2.5987625122070312e-05,2
52,CountingSort,20,1.3113021850585938e-05,3
53,CountingSort,20,2.5033950805664062e-05,4
54,CountingSort,20,1.7881393432617188e-05,5
55,CountingSort,20,2.002716064453125e-05,6
56,CountingSort,20,2.288818359375e-05,7
57,CountingSort,20,1.4066696166992188e-05,8
58,CountingSort,20,2.09808349609375e-05,9
59,CountingSort,20,2.288818359375e-05,10
60,CountingSort,40,2.4080276489257812e-05,1
61,CountingSort,40,2.7894973754882812e-05,2
62,CountingSort,40,2.4080276489257812e-05,3
63,CountingSort,40,2.8848648071289062e-05,4
64,CountingSort,40,2.5033950805664062e-05,5
65,CountingSort,40,2.7894973754882812e-05,6
66,CountingSort,40,2.5987625122070312e-05,7
67,CountingSort,40,2.9087066650390625e-05,8
68,CountingSort,40,2.4080276489257812e-05,9
69,CountingSort,40,3.0994415283203125e-05,10
70,CountingSort,60,2.574920654296875e-05,1
71,CountingSort,60,2.6226043701171875e-05,2
72,CountingSort,60,2.574920654296875e-05,3
73,CountingSort,60,2.5987625122070312e-05,4
74,CountingSort,60,2.574920654296875e-05,5
75,CountingSort,60,2.5033950805664062e-05,6
76,CountingSort,60,2.574920654296875e-05,7
77,CountingSort,60,2.5987625122070312e-05,8
78,CountingSort,60,5.1975250244140625e-05,9
79,CountingSort,60,4.9114227294921875e-05,10
80,CountingSort,80,6.508827209472656e-05,1
81,CountingSort,80,5.888938903808594e-05,2
82,CountingSort,80,5.793571472167969e-05,3
83,CountingSort,80,5.6743621826171875e-05,4
84,CountingSort,80,5.817413330078125e-05,5
85,CountingSort,80,5.698204040527344e-05,6
86,CountingSort,80,5.6743621826171875e-05,7
87,CountingSort,80,5.7220458984375e-05,8
88,CountingSort,80,5.5789947509765625e-05,9
89,CountingSort,80,5.602836608886719e-05,10
90,CountingSort,100,6.699562072753906e-05,1
91,CountingSort,100,6.699562072753906e-05,2
92,CountingSort,100,6.198883056640625e-05,3
93,CountingSort,100,7.200241088867188e-05,4
94,CountingSort,100,7.009506225585938e-05,5
95,CountingSort,100,6.794929504394531e-05,6
96,CountingSort,100,7.295608520507812e-05,7
97,CountingSort,100,0.00010704994201660156,8
98,CountingSort,100,8.606910705566406e-05,9
99,CountingSort,100,9.608268737792969e-05,10
100,insertionSort,20,4.8160552978515625e-05,1
101,insertionSort,20,4.76837158203125e-05,2
102,insertionSort,20,5.507469177246094e-05,3
103,insertionSort,20,5.2928924560546875e-05,4
104,insertionSort,20,4.673004150390625e-05,5
105,insertionSort,20,5.7220458984375e-05,6
106,insertionSort,20,3.719329833984375e-05,7
107,insertionSort,20,3.600120544433594e-05,8
108,insertionSort,20,4.220008850097656e-05,9
109,insertionSort,20,5.7697296142578125e-05,10
110,insertionSort,40,0.0001499652862548828,1
111,insertionSort,40,0.0001499652862548828,2
112,insertionSort,40,0.00014591217041015625,3
113,insertionSort,40,0.00014901161193847656,4
114,insertionSort,40,0.00015687942504882812,5
115,insertionSort,40,0.00014901161193847656,6
116,insertionSort,40,0.0001590251922607422,7
117,insertionSort,40,0.00016498565673828125,8
118,insertionSort,40,0.0001308917999267578,9
119,insertionSort,40,0.00011086463928222656,10
120,insertionSort,60,0.0002009868621826172,1
121,insertionSort,60,0.00017881393432617188,2
122,insertionSort,60,0.0001900196075439453,3
123,insertionSort,60,0.00018310546875,4
124,insertionSort,60,0.0001780986785888672,5
125,insertionSort,60,0.00019621849060058594,6
126,insertionSort,60,0.00019502639770507812,7
127,insertionSort,60,0.00032210350036621094,8
128,insertionSort,60,0.00017690658569335938,9
129,insertionSort,60,0.00017499923706054688,10
130,insertionSort,80,0.00031375885009765625,1
131,insertionSort,80,0.0002808570861816406,2
132,insertionSort,80,0.0003058910369873047,3
133,insertionSort,80,0.0003867149353027344,4
134,insertionSort,80,0.0005390644073486328,5
135,insertionSort,80,0.0006580352783203125,6
136,insertionSort,80,0.0005891323089599609,7
137,insertionSort,80,0.0006921291351318359,8
138,insertionSort,80,0.0005269050598144531,9
139,insertionSort,80,0.0011870861053466797,10
140,insertionSort,100,0.0010190010070800781,1
141,insertionSort,100,0.0008251667022705078,2
142,insertionSort,100,0.0005390644073486328,3
143,insertionSort,100,0.0004649162292480469,4
144,insertionSort,100,0.0004668235778808594,5
145,insertionSort,100,0.00043511390686035156,6
146,insertionSort,100,0.00042700767517089844,7
147,insertionSort,100,0.0004189014434814453,8
148,insertionSort,100,0.0007100105285644531,9
149,insertionSort,100,0.0004558563232421875,10
150,mergeSort,20,7.510185241699219e-05,1
151,mergeSort,20,8.296966552734375e-05,2
152,mergeSort,20,4.7206878662109375e-05,3
153,mergeSort,20,6.604194641113281e-05,4
154,mergeSort,20,5.316734313964844e-05,5
155,mergeSort,20,5.1975250244140625e-05,6
156,mergeSort,20,5.412101745605469e-05,7
157,mergeSort,20,5.1021575927734375e-05,8
158,mergeSort,20,5.507469177246094e-05,9
159,mergeSort,20,5.1021575927734375e-05,10
160,mergeSort,40,0.00013709068298339844,1
161,mergeSort,40,0.0001361370086669922,2
162,mergeSort,40,0.00019288063049316406,3
163,mergeSort,40,0.00015211105346679688,4
164,mergeSort,40,0.0002048015594482422,5
165,mergeSort,40,0.00021767616271972656,6
166,mergeSort,40,0.00014781951904296875,7
167,mergeSort,40,0.00015211105346679688,8
168,mergeSort,40,0.0001518726348876953,9
169,mergeSort,40,0.00015211105346679688,10
