Size,Sort,Times,trialNo
100,BubbleSort,0.6039142608642578,1
100,BubbleSort,0.6511211395263672,2
100,BubbleSort,0.5021095275878906,3
100,BubbleSort,0.5009174346923828,4
100,BubbleSort,0.7150173187255859,5
250,BubbleSort,2.9828548431396484,1
250,BubbleSort,5.57398796081543,2
250,BubbleSort,6.895303726196289,3
250,BubbleSort,7.630109786987305,4
250,BubbleSort,5.012035369873047,5
500,BubbleSort,13.856649398803711,1
500,BubbleSort,13.035058975219727,2
500,BubbleSort,12.813806533813477,3
500,BubbleSort,12.486934661865234,4
500,BubbleSort,12.650012969970703,5
750,BubbleSort,33.45918655395508,1
750,BubbleSort,31.923294067382812,2
750,BubbleSort,31.67891502380371,3
750,BubbleSort,32.21607208251953,4
750,BubbleSort,32.38224983215332,5
1000,BubbleSort,57.66129493713379,1
1000,BubbleSort,64.56327438354492,2
1000,BubbleSort,62.31498718261719,3
1000,BubbleSort,58.283090591430664,4
1000,BubbleSort,58.20822715759277,5
1250,BubbleSort,92.26799011230469,1
1250,BubbleSort,93.7809944152832,2
1250,BubbleSort,91.82500839233398,3
1250,BubbleSort,96.03095054626465,4
1250,BubbleSort,90.51704406738281,5
2500,BubbleSort,369.08984184265137,1
2500,BubbleSort,359.4639301300049,2
2500,BubbleSort,373.4750747680664,3
2500,BubbleSort,364.17531967163086,4
2500,BubbleSort,362.1251583099365,5
100,insertionSort,0.023126602172851562,1
100,insertionSort,0.031948089599609375,2
100,insertionSort,0.02002716064453125,3
100,insertionSort,0.019311904907226562,4
100,insertionSort,0.02002716064453125,5
250,insertionSort,0.04673004150390625,1
250,insertionSort,0.048160552978515625,2
250,insertionSort,0.04696846008300781,3
250,insertionSort,0.047206878662109375,4
250,insertionSort,0.04887580871582031,5
500,insertionSort,0.1499652862548828,1
500,insertionSort,0.11682510375976562,2
500,insertionSort,0.2009868621826172,3
500,insertionSort,0.19097328186035156,4
500,insertionSort,0.1270771026611328,5
750,insertionSort,0.16689300537109375,1
750,insertionSort,0.5071163177490234,2
750,insertionSort,0.1678466796875,3
750,insertionSort,0.16307830810546875,4
750,insertionSort,0.16188621520996094,5
1000,insertionSort,0.21982192993164062,1
1000,insertionSort,0.23603439331054688,2
1000,insertionSort,0.21791458129882812,3
1000,insertionSort,0.2181529998779297,4
1000,insertionSort,0.21719932556152344,5
1250,insertionSort,0.27489662170410156,1
1250,insertionSort,0.2779960632324219,2
1250,insertionSort,0.28204917907714844,3
1250,insertionSort,0.30612945556640625,4
1250,insertionSort,0.6101131439208984,5
2500,insertionSort,0.5619525909423828,1
2500,insertionSort,0.7808208465576172,2
2500,insertionSort,1.0919570922851562,3
2500,insertionSort,0.5600452423095703,4
2500,insertionSort,0.675201416015625,5
100,mergeSort,0.26798248291015625,1
100,mergeSort,0.41866302490234375,2
100,mergeSort,0.2617835998535156,3
100,mergeSort,0.2498626708984375,4
100,mergeSort,0.25177001953125,5
250,mergeSort,0.7119178771972656,1
250,mergeSort,0.7660388946533203,2
250,mergeSort,0.7128715515136719,3
250,mergeSort,0.7598400115966797,4
250,mergeSort,0.8349418640136719,5
500,mergeSort,1.5759468078613281,1
500,mergeSort,1.5358924865722656,2
500,mergeSort,1.5630722045898438,3
500,mergeSort,1.5769004821777344,4
500,mergeSort,1.5501976013183594,5
750,mergeSort,5.631923675537109,1
750,mergeSort,2.9273033142089844,2
750,mergeSort,2.5238990783691406,3
750,mergeSort,3.489971160888672,4
750,mergeSort,2.8238296508789062,5
1000,mergeSort,3.889799118041992,1
1000,mergeSort,3.451824188232422,2
1000,mergeSort,3.5550594329833984,3
1000,mergeSort,3.7300586700439453,4
1000,mergeSort,3.400087356567383,5
1250,mergeSort,4.637002944946289,1
1250,mergeSort,4.372119903564453,2
1250,mergeSort,4.410266876220703,3
1250,mergeSort,4.317045211791992,4
1250,mergeSort,4.741191864013672,5
2500,mergeSort,9.836912155151367,1
2500,mergeSort,9.428024291992188,2
2500,mergeSort,10.256052017211914,3
2500,mergeSort,9.438276290893555,4
2500,mergeSort,9.390115737915039,5
100,quickSort,0.4100799560546875,1
100,quickSort,0.40078163146972656,2
100,quickSort,0.3437995910644531,3
100,quickSort,0.36716461181640625,4
100,quickSort,0.3600120544433594,5
250,quickSort,1.3580322265625,1
250,quickSort,1.313924789428711,2
250,quickSort,1.4090538024902344,3
250,quickSort,2.0782947540283203,4
250,quickSort,3.0400753021240234,5
500,quickSort,4.909992218017578,1
500,quickSort,4.026889801025391,2
500,quickSort,3.4198760986328125,3
500,quickSort,3.086090087890625,4
500,quickSort,3.21197509765625,5
750,quickSort,5.187749862670898,1
750,quickSort,4.89497184753418,2
750,quickSort,4.935264587402344,3
750,quickSort,5.089998245239258,4
750,quickSort,5.019187927246094,5
1000,quickSort,6.706953048706055,1
1000,quickSort,6.901025772094727,2
1000,quickSort,6.657123565673828,3
1000,quickSort,6.871223449707031,4
1000,quickSort,7.483720779418945,5
1250,quickSort,8.481979370117188,1
1250,quickSort,8.756399154663086,2
1250,quickSort,8.782148361206055,3
1250,quickSort,8.716106414794922,4
1250,quickSort,8.641242980957031,5
2500,quickSort,19.057035446166992,1
2500,quickSort,18.754005432128906,2
2500,quickSort,19.364118576049805,3
2500,quickSort,18.95928382873535,4
2500,quickSort,19.54793930053711,5
100,CountingSort,0.050067901611328125,1
100,CountingSort,0.04315376281738281,2
100,CountingSort,0.04100799560546875,3
100,CountingSort,0.04124641418457031,4
100,CountingSort,0.0400543212890625,5
250,CountingSort,0.08392333984375,1
250,CountingSort,0.08392333984375,2
250,CountingSort,0.08320808410644531,3
250,CountingSort,0.08296966552734375,4
250,CountingSort,0.0820159912109375,5
500,CountingSort,0.1499652862548828,1
500,CountingSort,0.26416778564453125,2
500,CountingSort,0.3650188446044922,3
500,CountingSort,0.2560615539550781,4
500,CountingSort,0.15091896057128906,5
750,CountingSort,0.21600723266601562,1
750,CountingSort,0.27108192443847656,2
750,CountingSort,0.2841949462890625,3
750,CountingSort,0.2181529998779297,4
750,CountingSort,0.2162456512451172,5
1000,CountingSort,0.28014183044433594,1
1000,CountingSort,0.2799034118652344,2
1000,CountingSort,0.2789497375488281,3
1000,CountingSort,0.28896331787109375,4
1000,CountingSort,0.2942085266113281,5
1250,CountingSort,0.34618377685546875,1
1250,CountingSort,0.48804283142089844,2
1250,CountingSort,0.48089027404785156,3
1250,CountingSort,0.39696693420410156,4
1250,CountingSort,0.4391670227050781,5
2500,CountingSort,0.6809234619140625,1
2500,CountingSort,0.7359981536865234,2
2500,CountingSort,0.6821155548095703,3
2500,CountingSort,0.7188320159912109,4
2500,CountingSort,0.675201416015625,5
