Size,Sort,Times,trialNo
100,BubbleSort,0.9570121765136719,1
100,BubbleSort,0.9639263153076172,2
100,BubbleSort,0.9560585021972656,3
100,BubbleSort,0.9181499481201172,4
100,BubbleSort,0.8440017700195312,5
100,BubbleSort,0.8652210235595703,6
100,BubbleSort,0.843048095703125,7
100,BubbleSort,0.843048095703125,8
100,BubbleSort,0.8120536804199219,9
100,BubbleSort,0.8080005645751953,10
250,BubbleSort,5.137205123901367,1
250,BubbleSort,6.237268447875977,2
250,BubbleSort,5.061864852905273,3
250,BubbleSort,5.25212287902832,4
250,BubbleSort,5.276918411254883,5
250,BubbleSort,5.705118179321289,6
250,BubbleSort,6.873130798339844,7
250,BubbleSort,5.747795104980469,8
250,BubbleSort,5.489110946655273,9
250,BubbleSort,5.120992660522461,10
500,BubbleSort,22.711992263793945,1
500,BubbleSort,22.257328033447266,2
500,BubbleSort,22.26996421813965,3
500,BubbleSort,22.16506004333496,4
500,BubbleSort,21.831274032592773,5
500,BubbleSort,22.683143615722656,6
500,BubbleSort,22.818803787231445,7
500,BubbleSort,22.244930267333984,8
500,BubbleSort,22.341012954711914,9
500,BubbleSort,22.29619026184082,10
750,BubbleSort,52.6728630065918,1
750,BubbleSort,51.56087875366211,2
750,BubbleSort,52.030086517333984,3
750,BubbleSort,51.32794380187988,4
750,BubbleSort,52.452802658081055,5
750,BubbleSort,52.82092094421387,6
750,BubbleSort,51.89394950866699,7
750,BubbleSort,52.620887756347656,8
750,BubbleSort,53.36713790893555,9
750,BubbleSort,54.25882339477539,10
1000,BubbleSort,95.2911376953125,1
1000,BubbleSort,96.76408767700195,2
1000,BubbleSort,96.4207649230957,3
1000,BubbleSort,95.47996520996094,4
1000,BubbleSort,96.14086151123047,5
1000,BubbleSort,96.97699546813965,6
1000,BubbleSort,98.70314598083496,7
1000,BubbleSort,96.93098068237305,8
1000,BubbleSort,95.87788581848145,9
1000,BubbleSort,95.98207473754883,10
1250,BubbleSort,155.5960178375244,1
1250,BubbleSort,152.25601196289062,2
1250,BubbleSort,151.17502212524414,3
1250,BubbleSort,151.56984329223633,4
1250,BubbleSort,154.45184707641602,5
1250,BubbleSort,153.8398265838623,6
1250,BubbleSort,152.055025100708,7
1250,BubbleSort,153.98502349853516,8
1250,BubbleSort,153.54180335998535,9
1250,BubbleSort,153.5952091217041,10
2500,BubbleSort,629.5468807220459,1
2500,BubbleSort,632.8558921813965,2
2500,BubbleSort,637.9501819610596,3
2500,BubbleSort,626.9087791442871,4
2500,BubbleSort,629.7259330749512,5
2500,BubbleSort,633.0139636993408,6
2500,BubbleSort,629.4000148773193,7
2500,BubbleSort,634.7100734710693,8
2500,BubbleSort,637.3348236083984,9
2500,BubbleSort,641.571044921875,10
3750,BubbleSort,1440.965175628662,1
3750,BubbleSort,1433.1691265106201,2
3750,BubbleSort,1439.6390914916992,3
3750,BubbleSort,1451.862096786499,4
3750,BubbleSort,1431.0977458953857,5
3750,BubbleSort,1433.7148666381836,6
3750,BubbleSort,1437.9568099975586,7
3750,BubbleSort,1442.3928260803223,8
3750,BubbleSort,1448.8639831542969,9
3750,BubbleSort,1432.7428340911865,10
5000,BubbleSort,2545.7510948181152,1
5000,BubbleSort,2567.483901977539,2
5000,BubbleSort,2569.3461894989014,3
5000,BubbleSort,2556.3299655914307,4
5000,BubbleSort,2585.2980613708496,5
5000,BubbleSort,2576.019287109375,6
5000,BubbleSort,2573.4078884124756,7
5000,BubbleSort,2556.3807487487793,8
5000,BubbleSort,2561.228036880493,9
5000,BubbleSort,2575.287103652954,10
6250,BubbleSort,4008.2361698150635,1
6250,BubbleSort,3993.2878017425537,2
6250,BubbleSort,4019.850969314575,3
6250,BubbleSort,4011.6238594055176,4
6250,BubbleSort,4059.1962337493896,5
6250,BubbleSort,4298.01082611084,6
6250,BubbleSort,4364.65311050415,7
6250,BubbleSort,4449.278116226196,8
6250,BubbleSort,5491.26410484314,9
6250,BubbleSort,4108.99806022644,10
7500,BubbleSort,5864.95304107666,1
7500,BubbleSort,5833.413124084473,2
7500,BubbleSort,5819.628953933716,3
7500,BubbleSort,5783.138990402222,4
7500,BubbleSort,5813.266038894653,5
7500,BubbleSort,5774.981737136841,6
7500,BubbleSort,5790.555000305176,7
7500,BubbleSort,5805.737257003784,8
7500,BubbleSort,5787.980079650879,9
7500,BubbleSort,5815.459251403809,10
8750,BubbleSort,7916.3360595703125,1
8750,BubbleSort,7967.7088260650635,2
8750,BubbleSort,7917.807817459106,3
8750,BubbleSort,7894.318103790283,4
8750,BubbleSort,7904.324054718018,5
8750,BubbleSort,7951.146841049194,6
8750,BubbleSort,7897.599220275879,7
8750,BubbleSort,7945.461988449097,8
8750,BubbleSort,7934.154987335205,9
8750,BubbleSort,7937.106132507324,10
10000,BubbleSort,10320.079803466797,1
10000,BubbleSort,10320.843696594238,2
10000,BubbleSort,10398.61011505127,3
10000,BubbleSort,10349.454164505005,4
10000,BubbleSort,10370.666980743408,5
10000,BubbleSort,10403.580904006958,6
10000,BubbleSort,11004.86969947815,7
10000,BubbleSort,10854.369640350342,8
10000,BubbleSort,11002.227306365967,9
10000,BubbleSort,10923.505783081055,10
100,InsertionSort,0.4496574401855469,1
100,InsertionSort,0.3840923309326172,2
100,InsertionSort,0.4458427429199219,3
100,InsertionSort,0.45800209045410156,4
100,InsertionSort,0.4401206970214844,5
100,InsertionSort,0.44798851013183594,6
100,InsertionSort,0.41222572326660156,7
100,InsertionSort,0.4019737243652344,8
100,InsertionSort,0.3781318664550781,9
100,InsertionSort,0.3972053527832031,10
250,InsertionSort,2.557039260864258,1
250,InsertionSort,2.885103225708008,2
250,InsertionSort,2.84576416015625,3
250,InsertionSort,2.5489330291748047,4
250,InsertionSort,2.382993698120117,5
250,InsertionSort,2.7189254760742188,6
250,InsertionSort,6.443023681640625,7
250,InsertionSort,4.9228668212890625,8
250,InsertionSort,2.6721954345703125,9
250,InsertionSort,3.963947296142578,10
500,InsertionSort,13.293981552124023,1
500,InsertionSort,16.294240951538086,2
500,InsertionSort,11.624813079833984,3
500,InsertionSort,11.018991470336914,4
500,InsertionSort,11.263847351074219,5
500,InsertionSort,10.631084442138672,6
500,InsertionSort,11.313915252685547,7
500,InsertionSort,11.05499267578125,8
500,InsertionSort,10.714292526245117,9
500,InsertionSort,11.315345764160156,10
750,InsertionSort,25.518178939819336,1
750,InsertionSort,24.681806564331055,2
750,InsertionSort,26.27706527709961,3
750,InsertionSort,24.194002151489258,4
750,InsertionSort,25.232315063476562,5
750,InsertionSort,25.21800994873047,6
750,InsertionSort,25.95829963684082,7
750,InsertionSort,26.194334030151367,8
750,InsertionSort,24.821996688842773,9
750,InsertionSort,26.168107986450195,10
1000,InsertionSort,45.9599494934082,1
1000,InsertionSort,46.22697830200195,2
1000,InsertionSort,48.48623275756836,3
1000,InsertionSort,46.04601860046387,4
1000,InsertionSort,45.520782470703125,5
1000,InsertionSort,45.365095138549805,6
1000,InsertionSort,46.39005661010742,7
1000,InsertionSort,47.625064849853516,8
1000,InsertionSort,45.187950134277344,9
1000,InsertionSort,45.50004005432129,10
1250,InsertionSort,69.97203826904297,1
1250,InsertionSort,75.7761001586914,2
1250,InsertionSort,73.05288314819336,3
1250,InsertionSort,73.26197624206543,4
